ctgdct_col,opacgp_col,ossklh_col,wtekhf_col,tcjjig_col,bldxch_col,qxjebr_col,uzwwjl_col
9981,5314,9293,上海,深圳,7434,489.12,上海
9981,5314,9293,上海,深圳,7434,489.12,广州
8480,1164,上海,WYlgAA,杭州,Arp5B,3503,7974
937,上海,419.81,mSoyPst,879.39,8.82,9065,4534
2443,9174,5443,5729,966.92,y8H6h8l7qgA,364.86,广州
659.19,3263,1747,杭州,485.11,深圳,北京,avU07zUHLn
北京,761.47,pfbH9vOWO,108.99,广州,7533,深圳,4527
深圳,广州,192.35,8GrgmolaHr8I,广州,152.58,深圳,sKAJd7gVMq
aBKso,225.58,439.71,587.54,广州,杭州,7942,1859
广州,447.1,深圳,9XOj7h7ug,zOjD8,1122,AgN2,杭州
7623,690.62,22.92,910.71,628.62,913.57,967.3,XaHC
广州,1593,CPU6zUjzg,nBow8w3N,9081,1802,259,GUDWFgF6c
广州,深圳,ttp7,868.22,tgFjD0vIhroA,503,广州,EBqUhArQE
m6V,460.29,杭州,237.03,杭州,452.46,673,深圳
6334,310.27,508.98,ln6Eoie,7171,984.46,FzkmL2dDx,北京
375.54,4701,上海,Cg4KbFpiAMoz,733.21,7613,885.9,深圳
995.1,615.24,上海,hoO,jBwBeiwtr7bl,2224,2853,广州
450.52,2WNl7,jkuRv630pNI,上海,7934,广州,813.66,6443
5996,394.51,杭州,杭州,北京,3969,杭州,7838
299.2,杭州,214.77,RiMKpPGNdzS,9407,2k59yE675,331.35,827.16
4065,U7sSaOQdht,8999,9244,58.68,73.96,7735,深圳
杭州,h8ZU8CSAxoC,深圳,319.58,上海,上海,2197,9879
上海,IWxHwq,295.9,深圳,TviHl,6PVz,杭州,4698
广州,xzJ9,83.6,8898,834.82,杭州,86.61,SfjSNT
BVgfAIF,广州,4124,9739,6438,8181,OSWe9Dy,563.66
690.75,116.95,vWGvgSC,7571,9703,rRXJXH,5767,2317
5883,Y7FEQz,srHkCU,103.31,7194,YKvSNk,6744,广州
北京,杭州,7480,5906,ysR,neK,5134,上海
601.4,上海,528.76,587.78,cdWFMF,1084,p5h,5681
hWq2VbYq,8337,580,北京,553.54,3202,北京,上海
237.53,广州,4342,396.85,Yk70IIf,dWn,杭州,深圳
480.2,101.03,Y4d9n0Xv00k,8036,774.59,上海,北京,广州
qpe,9471,杭州,157.95,北京,广州,EOfHl2wBqC,北京
9364,6B6k,388.71,G4aRKWg,广州,746.0,8055,上海
杭州,WGJk2,178.41,3512,2838,252.75,336.95,9831
6858,北京,654.78,UtWuqs,9330,3431,231,北京
8032,bn9nbFhSX,421.45,358.56,cEm5u,874.27,Ah03aiOu,2733
zKXQ,5149,GQMATDPN,北京,深圳,9900,6wdnCIMDOS,6705
h0nZlu,2904,6303,299.61,广州,267.71,杭州,FXRQcx
7260,41.59,j0aC6,6610,1880,深圳,sOt,nNnQ
4128,zBztyha,深圳,YbjnUX0sN,8398,杭州,693.76,深圳
WEgOfrZ3,9485,654.25,上海,7922,104.12,上海,8431
深圳,上海,794.82,6316,1FAjfDMcWFh,98.62,8.19,杭州
6523,上海,Adnecx9MGSL6,615.57,O8fryP,9551,813.33,1107
上海,3966,ZZwWhe,杭州,380.05,419.67,上海,广州
450.4,9452,广州,杭州,k0hopUUny,VG9,864.38,B8RkLNNIGNt
947.01,上海,285.39,leigCCREt,1478,AWExRbeU,550,y76jTUIhDs
杭州,126.7,4829,杭州,杭州,GEIMuN,658.26,北京
794.46,杭州,6998,7055,4946,619,1265,深圳
1oOL,GtJuRjP,北京,ARVDmyJI9Gp,9731,1406,4238,4186
509.03,744.65,483,3727,5063,98i54tI6h,2zzB535q,深圳
6768,上海,深圳,2pH,上海,882.67,8583,广州
北京,8968,853.98,178.24,fsw,Dh1uznm,深圳,7617
114.72,482.01,67.15,2720,2868,340.78,i2Y6PiSC,2u3gVUbVNnmr
5219,eMvBi,dAlKKZRMt,861.24,479.17,杭州,431.72,RkPTSZhKugB
杭州,m2sXQ4,杭州,840.12,ieaSE,深圳,杭州,hDQiT88W
DT7eNX,727.24,NJJ,4210,深圳,OTkJ0d,深圳,98.27
3962,uQlHPZaggBn,f6OZ6NRh1iO3,769.59,4231,e8myOgHAMg,eTWb,北京
81.38,5887,深圳,上海,jJ5ciOD4cRi,6587,6061,6820
iqBokQ,8843,54.97,北京,6760,455.54,692.52,4836
5363,北京,isOfDs,广州,RLJmQMu,9156,9505,470.69
MX6Y6e3Ce3,372,广州,2431,5Sr80QPjocth,2382,4843,5348
mf0P78y,深圳,北京,7572,杭州,4714,广州,358.03
3003,深圳,5knFZXIQ,9792,bYn1ioh,bEAm,30.23,8801
5150,226.65,le0DQl9Eg,65.65,594.06,P69FjChEo6,深圳,36.95
杭州,46.07,869.07,buC1J,167.46,mN8e0nqsJ,杭州,7107
846.12,广州,IBOcjiqXOk,900.67,734.75,107.71,363.64,690.99
301.59,北京,T5uA4gjqeA,4.07,广州,9346,618.39,深圳
深圳,3103,rqM,深圳,505.04,杭州,748.08,MVqt3t9
广州,9596,5pEfur8hx,594.61,130.19,6536,132.16,8411
907.3,9QspA,gAfOJppfFhP,624.19,北京,726.19,2379,深圳
848.77,EEK,7148,广州,MrUPi,32.94,hoIE9WVVI,5BC
cgN14jsBFTg,172.09,951.89,943.7,深圳,7245,93.73,260.5
86,广州,6962,8021,上海,372.1,EXiKd33,广州
387.85,cPBrfkbNVtN,807.11,1628,182.28,杭州,qtIe,7307
北京,r8a5DL0xvNKF,957.46,8RqPtn7,广州,192.32,oEwr4R,1071
杭州,广州,7355,fJbT8Aep,DYK,ovduX6WMVM,广州,北京
ulgKeWmJNpA,5862,DLs8G,852.16,5432,5897,rnqk0p,339.04
上海,328.35,082mf,广州,6964,深圳,513.28,4960
195,上海,深圳,杭州,myHlgJB3f,6732,杭州,深圳
cfO4v0XyZ0zl,Rc2j2HPeT,深圳,7943,上海,广州,3306,3614
深圳,上海,eYOwen,广州,3809,M3t,6157,9B2itWcXzYUo
XRn2Gl,北京,广州,1364,广州,2040,深圳,2423
pJPkhfS,110.16,qmURa,7061,3042,82B4gNe,boEVaq7P,广州
602.31,wMODzl,北京,广州,37DHp,杭州,广州,937.27
深圳,7547,杭州,ERx8uZ,杭州,394.38,1d5sOJBD3nXm,x8Qkd
6620,275.94,杭州,2052,YbIHYEGKS,642,8293,695.41
HngYolsZ7Lnw,3157,66.89,广州,9953,6yvT8GK0,广州,r7GS5oNfsV0
176,EQPHhalZaA,Bk5V4kwivdEk,北京,上海,395.96,3Hq9OBiUa,yU3jm
EEQhUWyTT,jFVoQ,上海,9687,ic95,深圳,广州,tccdUn
743.19,1972,711.89,274.87,深圳,杭州,RGsnRIkcocj,84.16
5825,6259,1536,2670,6595,223,Vq6LXa,iV3YtD
