nmufpj_col,hpkjji_col,falqdw_col,utqhga_col
296.12,353.13,347.58,上海
221.02,上海,115.12,9663
52.24,697.68,933,430.68
1346,A35XRjdDcs0,4,ZEqsZeLiC
418.55,150.18,上海,广州
广州,5482,7911,8663
北京,816.92,杭州,北京
nOrho9IuHmQe,2652,953.63,511.27
wfkY,kvGQ,7921,ICtw3clJbP
1f0KIhiE,999.28,88wETzbrl,h8VthJKe
5461,广州,7706,193.28
i8zJqM3R,zlph,ic9UTQ,广州
广州,748.58,66.23,NBQrDyj
721.52,333,pp751J5,7uQIJ
SARqmy0,DmpcuDouo,371.51,4z9
7799,5E9,350,4834
125,883.94,3509,北京
4KTiGHoh4,2922,XnNGM,CQ9ucabP
kUNfQDXB,4750,4706,ZrMcx
Laq,370.2,杭州,w9VW71GhdX51
Mq1l6E5,qjeRMskJP,2UiS0A,788.87
8690,上海,ZdQcQd0o4mVw,792
广州,8593,Y9bgWg,QuNETZ
深圳,上海,536.57,WuE
3162,3488,7951,7814
coxSdPBRL,杭州,广州,上海
北京,326.45,广州,上海
6979,tu5h0WyjKV0,Dna0A,75.98
ceG,2354,2290,23.71
954.24,m4yC5,3899,EJvhnePsqd
上海,8187,akfE,9937
深圳,3866,1383,杭州
2855,J8U7IHQo,杭州,北京
6398,北京,LEH1JBE0Zi,381.56
6442,683.84,广州,222.43
949.63,LUV,杭州,618
tuCuugTw2,697.43,杭州,杭州
706.4,178.6,3803,5570
上海,6043,RYgiZ,717.83
1427,DtUwMDx1,7681,480
237.22,深圳,kypbu1,9356
8635,RYi66GibP8,693.63,202.79
1089,8379,J9f,yNThj
LUfg,8670,2452,fbIy
1082,6008,qeU,hMDIrkMBS
ohrO3vq1Z,dbw47I,广州,北京
r6EAcagTw,968.81,426.48,深圳
415.39,612,784.67,北京
9356,807.21,836,fdjP
6XoQUJK2WBj,758.07,7772,511.39
LA4jT,5810,深圳,9992
5539,3638,1211,719.99
5447,4rsihgtb,北京,广州
340.94,59.53,杭州,北京
广州,北京,深圳,632.99
深圳,910.81,9156,1248
342.81,503.96,cPAswOu,6jSBV
BVVpsNUEb1,3185,深圳,826.03
1756,广州,4140,2575
GFdJ5,深圳,12.19,xXr4oI
rWVIitz8tP,北京,704.38,杭州
3190,杭州,北京,上海
se0,3030,fSyiqkL,486.62
816,919.62,上海,y55X
6NUdhxal,lf2UoYXd,562.21,345.27
977.43,892.51,7034,35FH7to
5968,lZKHuVgERTPL,北京,woY5RfkafiBt
215.38,708.59,10.71,65.35
479uM37wVpxJ,北京,2054,0tR91byCV0ua
9383,839.09,aVH4Fp,杭州
11fKKAkc,Cvlp8,hX0nUalRkO,杭州
7599,5566,480.11,178.45
北京,831,iBw5R,682.5
北京,264.41,深圳,深圳
287.65,5017,786.04,1608
3615,5991,杭州,401.98
wowD1y,5020,7426,4685
北京,zOCg44bOTEGw,杭州,691.81
上海,765,729.76,tP6hb
122.5,7941,7254,北京
上海,1635,广州,17.87
广州,北京,广州,1176
790.96,566.66,3029,pAj
杭州,9863,940.76,9474
深圳,深圳,上海,38.6
719.3,916.25,y5zAsuq35Utp,881.04
GPO,北京,899.34,rSzuXi
rAs5jLJ,杭州,1293,qwsq
上海,4797,boBJ,711.04
189.14,162.83,3831,北京
2844,广州,onS6i,广州
4268,2431,758.49,SjpplJ6Xgf8
北京,694.75,6354,3152
499.6,614.24,上海,2794
1372,OJ5,上海,OkMsV
PMbPvmSn,J0n1dNk,UF4gxjAz,959
深圳,724.5,gi5Yl,rLG
609.8,35,327.31,6848
8219,8886,3296,P0Tn
DRV6b7DxOAN,5773,385.09,ZiBtFJ7vnqAN
杭州,194.35,zp0G,sKbraLPFy
kiC,4140,675,1.63
4797,8P3sBdV44O,48.56,559.07
深圳,9978,上海,k0YHtEfi
R1Kap,321.66,102.3,269.98
wiBGUT,JR8Cq0Lc,上海,上海
DaZAtdlBsuO,深圳,589.26,nyKJ3N
北京,7501,深圳,926.3
