yvuufm_col,wnkncs_col,qfntwc_col,cgzmoh_col,xoxaur_col
6967,ZxMOUH,杭州,i1vpAJQ,上海
3370,eQFLJmpMRM,NsPfuxxK,上海,378.33
7567,上海,264.03,9943,FVrMC
ZVH3iE,X79WU0YWV,EHBU7nozVBZ,4293,LSwC
4459,1619,9410,eEsirq3O,ZdlxAQnDjyR
721.72,982,7IaXnClW,HxcF2O,北京
825.23,liOav,7309,MmlNvf5De,qvQKv
杭州,PhC94FqCbUB,3304,965.5,866.35
杭州,XU9CKL,1513,QmCZP,aXuH0f04A
8439,646.12,北京,880,杭州
上海,950.47,346.61,hbCkdAbfI,SUk8
225.16,107.96,8058,上海,杭州
北京,126.43,广州,LUkpWby,1316
5528,405.75,Y9lj,上海,gT2x9
BZM4dfr6n4Dh,ZVIcU2U2j9vS,上海,7701,535.94
547.48,3495,551.93,PbXQwBQp0,364.61
578.31,广州,zXo1Mut,杭州,北京
杭州,深圳,上海,上海,广州
3390,mI5DQwh3,780.39,9896,深圳
2965,北京,372.58,zIckgAJm1lb,北京
685.57,3960,上海,广州,上海
Is8Kq,1AYzEwz2kHP,620.08,905.96,5532
4826,广州,460.33,7343,128.98
tPF4pg4R3A,8734,dkgvoua,NsPd0EKNqLhQ,北京
166.76,5254,北京,3005,793.13
深圳,828.2,3599,jZf6n,282.1
北京,北京,深圳,GDA4b1mps,42.14
4187,杭州,5128,263,上海
广州,30i2Uz5,深圳,7019,北京
杭州,杭州,694.77,北京,上海
上海,上海,692.64,190.66,G7qIFWOpdj2Q
D1aN7qnh2,北京,4889,1075,516.82
lONfza6QS2xg,广州,82.14,1475,7355
815.34,4457,深圳,杭州,135.75
LxkzM,9634,451.49,5364,1104
3568,742.54,519.07,杭州,广州
iaDwMaMz6Au,482.68,gdEmkE8dz,9680,ClTY0t
北京,1472,729.19,829,8841
杭州,北京,杭州,杭州,KcQ
537.58,上海,4564,深圳,749.29
深圳,上海,647.33,MKa,9967
上海,319.7,6379,深圳,6692
17.02,wwe7,广州,北京,713.77
CHaQdlpUDDT,6634,7757,S1Ocol,MoXGsnsOL
9984,4029,北京,170.3,上海
北京,634.66,679.71,823.72,hU8pxi
267,826.88,SURdFFi7m,广州,515.8
Wx2H811BmXdH,947.07,7314,杭州,广州
194.79,8857,8Wr,广州,640.58
3KM,3822,665.32,3301,722.85
北京,1480,384,9491,杭州
PIY,463.31,eEdKw9VMkZnq,7QyjK,THYg5OHN
9659,921.4,6780,101.05,北京
7920,8X0mHB,7314,上海,355.71
137.57,杭州,bCmsxDpkh,q55hdaakkF,960
3298,深圳,广州,rY5i0h,891.21
广州,218.97,3NwUNEB0q,343.93,14
374.42,229,EAfmRXFdSH,feoDzN6a,广州
2340,6624,910.04,480.92,6584
iiic9o8iPcx,9436,6746,杭州,277.45
997.28,深圳,广州,9447,151.58
广州,PbWyHs,479,上海,397.46
5644,深圳,Jfz9bQI,9359,533.95
北京,771.89,3cGZz,258.56,杭州
1416,WgQ5Y,840.54,8043,eI7cNs8OxW9k
6734,139.79,4626,广州,深圳
Vwwq2,1Or0aYF,1644,1824,5354
9KsafTIC,7259,XBh,VGb5be3gr16p,1393
9163,596.67,北京,234.29,358.36
4937,5.76,Chgu,6207,930.99
158.77,2898,157.73,WYajzPdJNnM,5597
740.22,227.68,768.61,深圳,160.96
深圳,869.14,4025,6228,UHpEIXEve9
深圳,993.43,613.98,96,北京
Wp21eJs1O3lW,北京,1534,深圳,3285
4788,杭州,133.95,rSd1jMVfI,3sgv
62.19,522.92,110.88,北京,深圳
461,5976,681.64,深圳,杭州
131,XD56h2FihT,深圳,深圳,2496
北京,51.02,147,3616,924.2
6680,4753,HPf,上海,SZma4dcdYKeB
5491,8387,303.8,杭州,474.9
北京,403,86.54,9982,8127
5402,eZK6vyXHBO0t,深圳,N9MNVKbg,yMEkUbPLjlo
杭州,806.95,362.53,5799,深圳
杭州,2607,763.4,8717,dmk
B4Ei8tN5P8,959.46,824.54,上海,692.21
nlSvs7qU8X,上海,深圳,7793,北京
5406,952.32,ZGI7tv,wYyw1,111.09
上海,5567,8249,深圳,hbiFBaNvKM
qdYliOU,7416,273.87,上海,985
2848,6736,JPf6DpxaUKs,bip,hoI2bOHLgn
7431,深圳,广州,sW2k,1676
262.67,3791,上海,北京,JfChj
652.35,GTZGpJ3KBL,155,上海,9185
77.78,XRhn8m,749.99,3569,广州
571.88,北京,527,CN3u,7026
2954,上海,9057,8.32,广州
lHR3CtZi,9727,2751,127.69,3078
381.87,4719,974.11,405.45,杭州
GABHJCzgR,广州,uDwA,611.09,深圳
XovcZUqlIeZH,上海,北京,杭州,6162
8335,北京,上海,488.9,446.68
420.47,qj7,KvseUVO,广州,6925
861.84,杭州,426.96,B5FVzEaSTz,SwvLxGMr
上海,389.16,4956,Lrb32kSW,4QUzt1Esm84
534.98,66Wwkh,6174,H6gnH7,7eqxqR
91.59,fpuNw07tc,5240,938.82,jzQ54Xb8
636.81,北京,5yOxMW7b,上海,912.96
8385,451.7,972.08,杭州,vR4MZey7z
922.18,9616,561.23,9248,5436
27,深圳,831.12,5647,REHCr7dN8x3
613.52,杭州,北京,145.44,XnVLDzdMVBR
广州,深圳,5ZyREcu,445.0,5856
上海,znLyN,456.63,604.41,广州
4965,950.8,广州,468.83,7662
广州,168.48,489.65,713.16,SyhbLybC
5142,杭州,746,HnW7o,2703
4392,804.79,4333,上海,843.06
8VBqNxxnx,gVH04vn5l7Q,1221,3393,F2y
aAPB8oCiLaAD,387.74,pAsKfcSQo,6124,4080
7yakATUI,3782,NawoX0DupJVR,杭州,907.65
1528,388.39,1312,748.67,3q1haH31KR
fvbvrDCWK6Y,881.23,5536,6681,3361
3906,3963,38,vHyWLf,885.9
8525,北京,16INByQcS6k,6795,YJWj2EZRpjt
5312,北京,GMORd3z,4519,8318
741.79,2116,5781,BaqOmDvk4v7N,303.4
2135,上海,604.0,763.14,深圳
2268,nWo,1863,4357,539.17
上海,407.17,861,7257,469.34
上海,3128,1190,uYEf6,7q9dj3YP6yeK
586.8,vUT,2154,845.53,659.87
KCeln7b5c,8593,r8y,杭州,9VHjDGa6
BNCvrCn,深圳,深圳,9956,720.04
9130,grDj0iPix,深圳,GDtgnm,2579
杭州,6187,7400,882.68,上海
810.5,6438,631.67,LpJa,4978
dcqrmeg,广州,广州,北京,8606
LRy8Mf,bkVBoeOcE,4839,876.94,上海
杭州,9rb,984.94,o9DQY,杭州
792.99,xuOZjDYIPqe,北京,750.37,81
964.91,L0db5,广州,z0CI,655.49
74.5,9928,bnfTy,424.14,2293
2711,1903,深圳,915,7668
深圳,S8XmZ8,广州,6520,上海
北京,上海,33.33,2516,2333
深圳,xITsp1prp6yB,4.59,haYO,hZRxRR
5015,5319,BHHyn8rK8b,4834,uXI
19.3,杭州,2751,8317,上海
8864,wN61FFgVqoJ,980.24,上海,xVvOs
深圳,379.04,深圳,9567,929.77
joRSYr,5403,74.57,6XIXXgj,7170
365.31,广州,5106,6735,9222
Ixu,N4bS7QkdK,9637,深圳,7290
yjQ,366.31,广州,453.6,867
707.74,941.56,9458,KlhkVqIw8P,JfMQ
872.35,4674,8JTLCj4zP,2679,杭州
595.41,北京,1523,68V1WXyJWL,tEfXsOXGMyF
437.29,372.57,9452,YCR,杭州
a0sZZ,958.45,深圳,2232,9527
深圳,29.19,pbtoxiiNspnB,上海,VcyeRsMFFxv
911.42,7357,杭州,深圳,BsW5UHi6RWl
北京,广州,599,广州,331.74
GTRnJB4Cc,380.73,2922,239.91,KK07AbzN
杭州,550.17,深圳,广州,北京
559.59,1011,广州,广州,5938
158,718.71,JKdb5D4fXO,800.12,SDmLQAkCHfE
bkfRm,杭州,3555,BjV2,495
V9q,北京,652.67,346.02,418yL1iVn
4091,8044,550.86,5093,8715
6438,深圳,104.34,wlgt,782.91
上海,fqbrXqQruJ,上海,广州,574.01
4254,上海,980.99,1096,1926
A4FEf,874.08,上海,9401,4zu
vI2T,Xr56EJhze5p,8956,北京,深圳
459.91,北京,深圳,广州,深圳
5735,上海,999.1,343.49,上海
2611,iW1nPlUmcY,2029,ryVfwEH5qng,2361
8559,9949,exofFU,北京,1459
228.62,uKaIvWrwWOmD,3343,170.84,北京
上海,ww6f9XWMbmf,419.05,4XQ8HV2,1484
杭州,528.86,9lgwb,Hm1AsA4KdDq,727.3
4960,niHSPa,kv0,e1Y,Ix4YLLVh
uJPTKZJG,北京,3191,上海,155.35
994.68,AEfg,3769,2223,XYvA
北京,北京,564.36,5579,深圳
605.21,广州,8850,KhYyI49,207.08
1.69,719.27,2025,7955,2DVj2cj5AG
810.96,824.14,slNmh38,深圳,56.56
上海,1347,278.09,5110,227.55
739.15,1895,1926,广州,7362
165.87,北京,Oy3H9fmOq,5759,474.37
806.68,194.23,998.42,7084,544
杭州,704.33,Jf8DG5xMJCoC,XVC,5965
