tjvvgw_col,xwqsda_col,jleqoh_col,vnkwqg_col,wgujoy_col,umaffs_col
479,22,2313,7076,595.04,dflE
广州,上海,北京,上海,364.55,R74p
北京,ccCmHOB,690.41,245.61,TfEGUF,IJtUnmlMC3B
杭州,mbL34w7v8,357.93,北京,218.3,526.74
870.47,K1gv1,广州,5331,5917,深圳
qJlrRhFjrK,600.25,2524,上海,948.49,4636
6947,X5D8VzdY,80.38,6287,983.34,8cx
795,3870,深圳,深圳,上海,526.95
808.28,杭州,8811,2251,8534,广州
上海,355.78,456.46,671.0,杭州,z9lEKSWhm
cwhfqCZW4J,5187,t1M,550.21,609.98,402.3
深圳,广州,9812,XlXV4b1q,广州,544.83
4061,3.9,z9o5,杭州,杭州,981.05
北京,深圳,2987,328,深圳,深圳
fPC,9224,杭州,杭州,374.44,tHxLKUlicem
9425,557.25,广州,6036,793.42,204.64
5414,jMFTlK0Bvz,774.24,261.18,0j5a0XF,7V1Kw8
fScl,54,751.0,rxd7Mv,337.96,Taks
深圳,TaG8L5uA,862.92,751.33,3KJrktahk,杭州
北京,7RJ97lj,5887,深圳,5131,上海
650.64,北京,北京,9103,274.92,1326
375.58,812.05,748.5,深圳,vP8YAyw,eo24iqA
1314,广州,UEYes0,8726,s7SQ4hFsR,7301
rLD4,ltEnmsg,0aasmow,北京,9937,1385
248.73,5927,深圳,上海,杭州,D72HX5kST8
403.13,6856,杭州,深圳,深圳,杭州
ppY5QYg,465,北京,204.7,654.33,668.41
上海,3193,28.99,9600,广州,上海
228.64,859.85,广州,北京,297.85,广州
上海,7200,上海,上海,2151,5547
上海,广州,北京,bY9dM0,5102,杭州
347.82,zcoeuMWMS6hw,北京,304.36,40.32,605.17
北京,3I2AFZ636HB,7374,2413,9502,上海
7Whw39,IvO,广州,125.88,THMQ9BSB7,上海
729.84,437.23,RXZTpxFAGs,8202,QkNiSJK,948.13
116,深圳,586.53,上海,杭州,5002
921.86,523.55,412.66,7476,712.34,1817
284.67,EKlD,i9Y,572.56,ks9qQjfuz,jlihoH7adEt
4588,25.42,198,490.03,1749,zg3pnVUhq
619.11,1834,6905,ZR1,ZlpnqpZ,7233
1744,931.9,广州,O8P1G6Vu,359.62,zWaWNV5RBtl0
93.49,上海,nl0ceWj,568.2,CAO,深圳
269,上海,474.1,kWQpp2Aycg,272.57,84.3
北京,9029,2956,2752,I4Ec,gVEt4R
杭州,北京,2186,8515,410,3063
2714,EbUfBgX9D,7083,209.51,779.53,502.3
深圳,8152,N8pSIJhQ4i,9774,cteDSq6,qvYBBFzmO
100.7,1580,7647,上海,474.83,4177
6438,2549,136Ndg,3216,363.71,265.71
NkYNGs1VxF,902.17,杭州,797.14,2lQovC3kum,6291
深圳,Sx1M,北京,108.37,i9f,4DIYH
北京,北京,579.24,深圳,5185,广州
bE0XffsyP,上海,486.35,uk66U,589.4,665.11
1470,杭州,5803,521.76,62.09,fOpO1dl
深圳,6WC0v7xwsM,808,北京,15.19,t9Us
7Ip9OC23C,3380,953.76,277.02,上海,4936
北京,4884,7993,北京,415.17,251.63
深圳,广州,上海,164,467.22,广州
218.78,kB19mXhSW0f,9547,1050,7867,z0Kra
PL9bn,452.18,杭州,2622,广州,0i3ki6UgJ
广州,Z91e24HBMb,5974,杭州,杭州,0AnkbOnWF
478.84,杭州,2636,XA2hqEFdcuda,451.29,y4RNTr0
932.58,755.94,广州,831.56,3481,上海
深圳,7411,3043,aBGg2kVD5,317.04,8491
深圳,WHvtAT,4247,578.51,8wrtde12S06N,杭州
4112,3101,北京,275.3,0Mt3,vnm4FA
8254,杭州,544.83,7686,433.67,深圳
290.81,深圳,广州,深圳,4487,qpZCXNaC
434.29,9223,UJjYl73,北京,55.12,6512
155.21,bnbzpfIOZKc,深圳,北京,357.19,767.72
8467,5981,北京,深圳,5864,广州
CuTm1BC,8CetZy1J6oxW,北京,杭州,119.6,94A5gjuDjZ
0VM0F,4557,821.76,广州,jW9,454.0
上海,N29B6FZZR,0u8,257.93,上海,9954
Hg4zy5k2cTt,8395,杭州,439.61,6749,nk7U4CPw
297.32,981.8,4374,上海,杭州,267.85
149.55,ji0X3V,720.82,WI2,521.67,HK2uO9chanS
杭州,深圳,52.52,北京,杭州,5292
8016,8258,p2cnqYriNFvH,2675,206.65,NDIU6j75
4383,北京,71N3AEUDO,4046,4629,658.71
3724,772.09,151.06,杭州,4761,hIUk
rnEAym4K2vVI,深圳,dlfEKg1VVJyg,杭州,vOMYmc9hh,944.6
QEn3WiXVGD,北京,深圳,VZqj04fh6roy,广州,深圳
9954,395.07,JVKdLu,mi5XdQydF,3202,z5DMkXtUyCRu
7836,WZnhFm,742.11,473.45,2480,上海
P0EzPtCjGga,H5Dyt6vbQHO,8980,3750,1217,上海
164.68,6Eo8xJU6,747.76,3984,DDDoNenq,fHIGuE1H8hlK
9366,775.0,北京,广州,深圳,bEJEY58XU
上海,北京,杭州,8108,XwTvMiG16cC,484.02
9397,4274,475.33,354.44,lQX,448.11
972,广州,9044,6299,上海,729.82
杭州,杭州,N0gaJgBJFB,874g3oMsL,xu5x,395.27
XN6EwINOMB,448.35,430.71,Ti3zKTwfPJ2,4040,3YPaXrP
5595,863.23,772.96,1012,3083,292.13
9424,mENE,深圳,106.29,YjAH12nGQ4N,r23IHfEq
上海,8102,57gW9,杭州,杭州,l7Gzx8nI
c7DmG8f,北京,广州,575.32,771.09,854
648.68,1557,9RaloXxA,北京,上海,691.41
CTcVLNwI,1426,lgObRX8W,广州,8081,6571
Dg1h,6824,655.0,Tap3OX5z4C,北京,bptKw
76.05,254.23,1024,519.0,Mujr,rpl5gA1JtA
广州,535.99,4645,qn9Z1D,北京,557.45
