yueneb_col,fsayof_col,vvcorn_col,extpft_col,aiqaxn_col
JOyEplD,104.16,7974,FeTVCa,上海
97.31,43.69,30.33,2597,1151
北京,675.78,688.3,38.49,ulZyNj9
992.84,731.42,北京,887.46,wtsxNI8QPP
9DGM7rdz,广州,北京,lWlbm2HYtR7,CtIrrbznsBu
1150,深圳,6dN6v,5920,qLDDK
705.16,深圳,qHAF9y2GDA,138.57,904.93
120,1.42,3531,北京,ezzTT0zzoo
421.96,817.31,2894,4kabPkb,3580
杭州,9350,广州,7f1S6204V,上海
2089,898.29,杭州,782.39,6133
dv5Vzvi,639.54,9764,btPd9WTnJ5c,QK0oqTN6
广州,72.57,8FvB,857.35,6180
B6YFw,cv84c,629.49,Qog,北京
347.22,w9RHgQ3Ua,北京,3853,i9xT9D
CNECGMehh,740.46,UBbnTyCTNU,上海,rSykVHr0m2b
338.21,YWAsS6,864,D787,I8Y9a3F
深圳,北京,北京,336.35,深圳
上海,北京,6226,362.04,北京
HVfST,8558,8795,上海,9118
深圳,7662,yLFuVzl,8.1,quGcztCsoP
Hovrk4W5wr,2YtERv,4799,NQekJYoXGr8S,28R4x
北京,465.12,238.76,9040,深圳
WOMdU,dVJkk2KxOkw,2535,487.84,5709
杭州,深圳,uOOlK4MTfuqH,杭州,T08ElbdN
4rnVPttj4hvY,广州,深圳,689.41,Drx776GuiHb
157.73,5897,上海,4343,287.36
杭州,5706,杭州,545.96,上海
805.37,GdsfMNke,752.75,7390,KtkoUqKk
811.15,8124,CN7i,广州,ezlXPEY
Q7ov2DO,4028,p355X,上海,219.72
owIGjqnIB,2SE,MThNaPap2w,深圳,kklpb
上海,上海,270.3,914,杭州
深圳,216.32,9789,3241,2987
2632,SfF5kku9xEb,186.34,5710,508.96
3034,558.0,北京,iZC65akYQwXP,32w
827.58,yEpAq00umSbt,72.12,495,276.36
IdBMxrFM1c,524.19,LshgFtKbr,kle0sJ9rLb,30.19
北京,aA7whhGve,S5DQeWH,1577,187.59
145.89,9716,cP5KOJWZK,杭州,516.83
265.42,YjANDHSM,2223,lTEEGPC,Qi7FXNfR2lV
上海,dQ4zKW80b,lO6D3nzWz3mY,yz9AXvbOO,312.32
0qzy,yKVFU3LHzG,279.8,2906,y46dAsA02Dw
pP8Em5EG,mH1,深圳,48.93,306
深圳,2M30PBr,上海,223.5,7983
深圳,502.54,T0wiJ,深圳,3653
广州,528.29,qfmWIgOU,428.38,上海
广州,8941,QUDdxq4bEp,676.93,762.14
上海,454.82,361.89,34.59,7676
8483,898.69,广州,广州,上海
0oGEdbNneQ,6444,杭州,8795,239.94
5667,6IZuB,4879,ysv917,gus
JPwJ0Bc,5403,982.99,275.48,447.45
2777,105.75,7.13,5861,9410
490.61,14.58,杭州,804.29,lV7U5P
1594,4739,441.17,531.11,987.1
杭州,924.28,UIp,1789,4080
0Aqgj7VW,北京,gf0FopRLU,hYzSs,杭州
8MyCpnTX,9876,上海,uBlbF,K44T4JUU
杭州,989.0,Opqc,61.4,6952
964.56,936.6,深圳,499.6,135
北京,996.02,2104,797.19,T0BYCIvbP
5027,深圳,717.13,CKBGsRCo9N,杭州
893.54,2820,259.07,156.86,2216
7498,72g,北京,4153,杭州
深圳,X3zuAo6Qn3lE,467.32,JTEsHyfV9QD,9512
629.55,5096,OJdh2P,Dxd71PO,174
10.6,6438,EehYFhvSQ,深圳,4233
218.92,lyGxGHbKzobl,广州,622.48,6476
北京,PbXY,186.49,yoiRR,932.41
775.14,5588,583.37,深圳,6652
235.26,深圳,杭州,北京,gPKwoIaT
北京,231.0,945.07,133.82,VQkFsCPz
UwsLgspzg,上海,3882,北京,杭州
2357,1685,582.29,218.85,486.71
深圳,4420,9781,731.28,9273
9500,深圳,mpC,WOBYEeNKyO,8412
3451,2074,777.06,北京,北京
TMmrQoUN7R,jXP2PJ7e5CN,广州,杭州,北京
7853,vJN6Zb0Dn5lx,962.88,678.87,深圳
1220,Qgd,42CKY,3467,上海
广州,583.88,907.2,486.61,杭州
1exNti9,广州,418.11,1Nk,4616
673.25,UIo9t39o,KnvVOSiID,HEsJ,315.19
5934,49wTkbs,lM6tJZHkuRt,93.58,4302
6705,深圳,28.1,3190,杭州
1433,杭州,181.87,99.0,3054
239.32,北京,769,945.06,4661
924.09,286.02,289.56,941.38,2ssR
4883,9144,738.07,25,北京
杭州,上海,727.53,IQFSfhg7Mlh,北京
186.06,7530,2797,2401,北京
深圳,386.55,745.34,3146,864
282.07,878,6950,12.86,261.46
40.96,96.77,北京,杭州,广州
p82GdQ5GNAX,903.09,724.13,广州,212.12
1272,1730,杭州,dnw,fGvpCadba
RIn8M,V34T,W4B,6973,杭州
867.76,2568,2796,n7lhCtFEh,7574
广州,2862,865.05,1823,426.82
Nh1VVrAsMOl,9079,6351,8965,NeL3PDa42h
ZnvLjewCS,mL2wwBUUV,31.4,深圳,6449
杭州,rq8l,1037,杭州,543.66
深圳,7064,广州,CYPnkw,5752
杭州,5732,ASELWmW1,北京,518.47
8879,UhGyQWSUz,954.8,rtq5maOWYV7,201.44
杭州,2CdZ1bSxA,496.96,569.24,0tWya2IQaFg
129.45,gGe,北京,246.73,上海
