rbwwit_col,lucfce_col,cinfec_col,tyhgie_col,hamzkq_col,nihtli_col
939.49,341.1,xHPuzIAUH,tkUNGR,北京,杭州
902.2,北京,广州,549.56,MSM2CKfsLC7,深圳
GA88Jsbo6,216.79,杭州,stG,广州,3234
IZJK1p5,3004,杭州,2312,767.19,8034
北京,深圳,Z5nFR,深圳,337.5,广州
杭州,6598,5.25,2681,上海,kYpBa8jQF
4471,8635,6208,cYNZNoHE,深圳,深圳
652.41,FW3ocnEcA,orIDlv,上海,杭州,35JW8N2tb
235.62,1386,杭州,RpHctpoIO,V2E2d,广州
北京,738.27,1835,146.12,9259,145.36
t1I,567.69,904.57,FsDuxn1,广州,7501
J7K5tqC20c,4116,6825,4312,深圳,VcOuIbS4J
Dx340qQ9,348.21,6663,深圳,9193,648.48
2Ionu6OUm,475.35,9997,4479,RQsGtq1m,87.24
237.66,48.91,4su9E70bYxfA,2oD3GaMm,642.71,上海
8479,广州,pabaPqS,上海,757.86,上海
9996,701.5,6763,538.24,315.37,杭州
广州,362.66,1050,809.38,2660,137.26
114.68,深圳,2866,广州,5801,359
607.43,9323,699h3JIYQqh,广州,杭州,北京
5959,上海,988.67,杭州,108.38,116.32
广州,广州,杭州,1371,3044,深圳
9920,607.79,ZQMe,杭州,VmfiQ,575.81
8838,zAfsn,上海,8439,杭州,294.91
1251,3225,821.31,4285,杭州,9191
杭州,120.51,6861,广州,L4FXcJlY2nT,873.39
577,223.37,9545,杭州,382.74,78
998.68,2799,IOaRr6q5XzPK,TV8h3OoogE8,853.17,北京
411.13,glQMXgdlLg,IG4Z,lUpuW,W7H0,杭州
H0m7,502,311.73,杭州,6878,深圳
eaRgQyT0t,广州,上海,b8eaO,6159,RXWJ
广州,1838,290,JEKl6zw2,杭州,3133
7jLPExi,248.03,tT3JZgs2ATj,上海,深圳,上海
g0RNCHTPqQpZ,杭州,838.08,boZYW,7210,8193
杭州,广州,ACKxfcSvTk,广州,上海,212.9
