uyspcf_col,jxdjtn_col,gqzatk_col,mecrct_col,txhhqn_col,jdhkbr_col,bvcacx_col,mptgyq_col
RNWa,76.24,792mOtyqw,6282,pVjJGfFvf,890.12,2880,9690
517.5,上海,42Tf,广州,870.99,sbSBs338a,深圳,8054
i8jZK1IBJ0O,杭州,7Gb0re6vym1,广州,aAK952joxE,YHuyim,708.19,北京
8256,jxEkg,杭州,5994,广州,ooNA6HW,杭州,1248
2193,9580,910.82,XAssoI,197.81,2050,杭州,杭州
114.35,深圳,杭州,klK6U3cDQBA,748.47,347.91,5499,18bxX
杭州,eErSz,LieAgoqRF8,3681,Vj8ZH,9868,302.69,杭州
杭州,669.25,603.1,5991,727.84,9519,深圳,深圳
9634,994,北京,3216,747.05,VJtbTWDOJLRR,Tif9,6846
IZb,7894,CJGYG5e48cio,aTEPCAjCCc2G,4utehS,wrknqcxIFwud,faGCHpvZW1,7372
杭州,北京,6173,479.31,北京,8741,5920,广州
997.15,4618,393.66,北京,36.76,7039,深圳,4806
3771,1731,420.23,8629,3372,6636,807.64,Ugi
195.94,4305,57.34,广州,824.68,A2epb8Uu,4429,4191
上海,北京,808.87,杭州,730.88,817,北京,杭州
oc1pzFdI,867,广州,杭州,14mLz1xuB,wNl9XlL,深圳,574bcB
1449,3elisU,875.83,666.49,992,深圳,soEVa,Fd3
6629,上海,924.29,461,北京,广州,9285,53
841.32,5011,1153,S8Mf2,8327,173.48,广州,4793
w6RQ9V1h6V,zRqF,杭州,2624,7XXu6IRtxX2g,665.08,杭州,HKuJegIE8PGG
北京,933.65,yWI,xW09,192.82,462.43,8507,393.07
6923,168.98,lBBi8A,996,SIi,9574,杭州,4648
4318,QFhH,132.89,上海,293.41,HX47zX4qbeP,93.27,lbcmWecKrn
广州,434.68,1249,上海,850.69,129.07,2672,W3Swt4n
杭州,qC3CzxAx6X7S,4192,SrNhyar,uFV,ydKf4Dv,59.86,3xmArhR
570.94,LBAu,fOVmHPjwHy2,深圳,545.52,9812,970.29,3299
广州,广州,上海,r2vFPBvwi7qT,m9vGL,上海,1369,6258
794.15,上海,yiA,杭州,5279,深圳,JhFrt,上海
976.38,广州,4966,上海,OfX9QAlqjbwJ,793.43,杭州,440.99
广州,8463,杭州,58.89,axIX,北京,A69,626.32
X6I,obFO,2022,上海,xCOIdVA5S,fHlTbRgs,mGJUlnC,9048
杭州,852.22,JKug7pU1Y8,OIu1FpOdXY,215,zMeFW3SHRU,277.88,1o9PvDfZ
2161,北京,sWtCBjFu6,IwHec5m,上海,1Jm6tRve,1335,324.84
深圳,上海,2554,北京,518,779.17,北京,fSSUVr
北京,北京,北京,930.78,712.19,143.84,7051,9Vp
nPIRRm,广州,深圳,bdAQ,fLSJHu99V,DwdoCUmOkek,上海,589.79
北京,8u9Ul,361.66,1494,vtW1o,深圳,491,FKn
6927,1ZF,杭州,杭州,577.24,1486,273.88,037uAJ2lU4l
PeD82xX7sOy,杭州,174.45,802.09,OSyVHEuUBGi,3835,wM1cDAYpm,uWg8YmY6
S8Er6Rf8wU,2494,470.22,165.54,438.97,IeF1,6799,qoBgXXyHm9Do
Z8BB6UK,杭州,195.46,北京,9277,NbW0EGc0E,2135,深圳
广州,T1Zr20ZU3J,上海,810r,杭州,VtnQuMt6kjEf,上海,5352
658.41,274.86,225.12,2590,JQ5H5Z3rloci,7855,fsOpuhOOQh1,zbgYUZgvXm
4943,zPx,广州,464.45,杭州,杭州,上海,686.32
UivHGMbau,7926,2267,广州,uG8qdHw,YURWV6p2U9Ns,9563,7522
广州,Oxr2mIkPd99,g2FTr,4840,718.51,3452,902.08,ypw
226.25,深圳,深圳,428.78,855.92,2927,CzUu,深圳
629.1,817.87,TkQKfAH4,7837,深圳,vZO,杭州,GnQV5dsq
629.8,4147,688.76,Qu442Mv,4543,深圳,上海,609.8
5288,上海,ipy,杭州,3733,wOEeRh1,497.51,146.66
160.84,深圳,291.34,266.38,kpNHDpg,杭州,6023,980.37
2K5NQnVOaTn,5080,F6JraBuk,845.76,上海,深圳,2380,899.05
Lzmj,4023,103.52,6289,231.28,668.48,290.89,1249
520.93,rJd7bsX,2749,353.4,923.57,906.0,北京,北京
206.18,7813,adb4,994.16,7310,295,上海,543.7
eT5lAE2rGGR3,7495,DxtXb5QEvl8,杭州,4620,7804,xK6r3,JW9
472.69,9084,112.57,WL9uX9u,VpuN9Caxb,深圳,6899,769.59
杭州,3221,7998,WKsf1lFP5,55.49,深圳,KOlDm,nun0i
9200,fqmWQ,179.3,c4e,FFxh8d26,905.47,北京,600.72
1053,广州,1148,TlO5qcNN,443.07,541,杭州,246.13
上海,189.42,深圳,lHLZ,北京,WPG0k0ddW7it,6Nb9qRPa2,455.69
Ba2,9310,282.94,xWcmpB4VsqE,9089,深圳,466.78,9139
上海,北京,892.16,5028,GQ0K7dCgtBT,上海,648.52,922.77
m44Ug6Vu,9491,q6msz8jekL,1361,22kXjBEkWE7V,上海,760.53,590.41
310.97,6Sq86kco,2084,gD8LdFshVUtl,8376,390.36,8982,9605
56.3,UxHTpk,7885,上海,xE39vnQP,上海,上海,368.38
7591,上海,杭州,3769,707.29,388,上海,深圳
上海,129.58,OGlaJjBlMyrF,5291,L647eg,4131,MW5KIA,CmjcaGV
5983,4463,hcfPMEU0M,0Yfgw,EFIPrPjcB1CP,1258,4236,581.99
