ufaryp_col,dfrwxc_col,vveszc_col,oujcxo_col,wsyedi_col,fcsfqj_col
268.44,oyNBOG7,上海,上海,jLZdMhh,8916
921,深圳,深圳,541.43,222.92,343.73
杭州,4734,4oksmMGGD,yD7kH2,aI7TCjh,435.3
8842,北京,杭州,854.27,9705,广州
广州,8602,2khskc8,广州,lIUU8P,上海
杭州,56.52,ecKyh,Xzd8pTB,深圳,vxqUQtvJpHF
422.5,133.94,8942,104.61,北京,8492
626.3,56.07,559.93,319.86,4729,I1eKGS0Ad6
9261,66.42,广州,882.77,广州,上海
广州,575.24,4568,杭州,ig4bMr0Fe,977.01
LwE,9583,上海,9368,P4BUmHRP2o,深圳
636.51,sgKaeYMnI,k7FWmqsxmK0O,Vq57Zsz,267.56,21.24
7925,6663,5913,tVPc,4279,北京
广州,7430,273.29,5738,OKssRe,798.52
HgVw,深圳,3654,nuKSmBa2,北京,1400
688.33,YRuciD,143.97,889,200.87,1016
北京,905.19,ROQLkGKmG,广州,891.3,7192
上海,749.8,深圳,广州,zwKqaRXiLhp,6141
635.13,2298,563.14,517.32,548.0,3998
8622,TMj3Ef,171.48,gD2TgSAy,418.64,LhN
Sfaghbc,杭州,深圳,997.43,7256,北京
Yml8Y,广州,476.5,949.81,461.12,深圳
469.42,北京,X2fGEQGMh5,736.68,7316,5893
9Hp7,770.91,深圳,广州,190.23,190.43
5650,深圳,8362,481.17,hvYFbHKJ,kp7
北京,6103,上海,2148,2664,杭州
6395,北京,yqy5dmysfVDg,9685,867.89,952
EZAzAfy,zuo822UaOHz,375.77,1535,北京,537.11
B4hgcCx5l,r6F4wLfo,189.76,iA8Ff,xPPGLp,3MxHqeYN6
1922,94.28,l4rRTld,北京,289.37,上海
1582,6662,781.16,828,865.91,gI3a
1601,139.7,348.93,深圳,1036,NUmma
384.1,9431,3386,6769,I1WbOHSc6Ko,8582
广州,lU3,590.01,深圳,jR4VDGYtY6R,kHFKuJy
791.74,9739,H2o2,PSxXqmoF,833.03,6167
5qPw39s,943.51,8935,Y3py5pS,北京,900.31
上海,北京,349.83,7844,7740,广州
北京,QATEtIk0y0dV,268,1274,325.58,586.98
817.87,229.57,8939,sKOavtwH,广州,2588
上海,74.86,广州,305,北京,8067
49ScjFSRO,上海,380.56,HKLfl5i,8016,85
6292,8572,714.56,北京,9383,739.92
966.2,2096,P6wUdwX4,A7wpksj,775.02,KQ2IPmmvcG
上海,广州,广州,广州,7130,268.27
深圳,北京,TqPgVe,北京,7452,9804
广州,广州,上海,UBg6Q37Jfsv,823.29,5250
6ClqBXmRkh,8609,9470,489.99,117.34,412.31
548.84,3998,上海,0xlF,北京,dp9I
3932,深圳,JJm6e,vXEUvQkRaS,4582,gHnZvCb
qDTT,JwQMOw4CrHX,HAp9oHqVk,369.0,2613,241.1
北京,6790,1137,BL5,6742,Od0vEPq
杭州,杭州,djg,2861,8644,854
北京,Uzbq0QF,22.71,2784,IYMjTuJl3r,8787
3713,5388,9046,280.96,zEGVL,hQVRoX
杭州,wjT10ESDNV9G,Pna,2758,1287,1K53wnD
上海,4170,485.86,北京,219,2016
