onjrlw_col,owafpq_col,qosrim_col,omoqct_col,lsecsw_col,dghdcz_col,rftifp_col,wgyasg_col
上海,杭州,742.79,356.81,303.36,8eqV6Ll5ze,4.09,3gAHYEP4v
15.9,DdtH7dM,ti9QedzxA6Aj,KSPA7dJ1,337.36,VVxn90a,1433,zzpZrO5gKeV
160.34,广州,上海,RtE,深圳,674.28,236.11,fkiXvTl8rg
杭州,上海,广州,上海,835,718.83,120.97,5235
北京,h1Y5P,247.84,404,广州,767.96,杭州,C2C
N55yOIsE58,9479,7473,632.36,ubigSSY,1478,ljbn1u,456
北京,E2JNs,北京,8041,UnhyD3Gy,625.92,3293,5499
vtk,杭州,1309,1570,E8bl0JDCanm,370.97,9879,广州
d2CumM2TBfAG,深圳,42.72,34.73,北京,712.42,78.7,434.08
4885,4aWux6PnkJz,782.41,7857,Xso,Byrgy,WGe,756.49
9346,ucgx5,23.71,上海,gPZT,931.88,583.03,杭州
617.85,5190,499,872,h4ZSVbW,杭州,1342,753.11
OSaBM,461.63,4287,634.42,6773,深圳,8803,522owN
广州,北京,gSV2uzezb82x,DgD7j,杭州,杭州,4728,深圳
496.59,7884,fo2ewU1,FLblpvaZM5,272.05,广州,深圳,qfqrTNYnG
3903,eZL,ulIpS5luSxI3,1538,杭州,547.28,501.54,深圳
863,852.74,4119,2928,8883,深圳,上海,杭州
0Yodw7MXByo,45BAO,5609,qHKpRhIJIwci,803.46,2649,y1fmIGq9Jfq,3149
gFF1,877.75,杭州,N7T8osbPU,3584,上海,7298,301.75
4915,154.37,深圳,上海,9470,7188,广州,北京
732.79,223.67,329.94,L6FeRvZRLtd,9452,杭州,2289,4727
广州,7xO0twVJw,1329,上海,94.02,4955,861,650.11
广州,ikc,上海,深圳,669.64,1838,UE6rsFK,4230
杭州,223.71,6768,2lPV,4847,609.95,6216,8414
736.46,VYtjTDES,tI8,898,9585,NQ1,1927,363.78
494.34,6998,上海,北京,932.8,6.37,Jln8KMog,RH8cEWDh
3626,bylEIyekK,LRZXAxaJcn,9606,杭州,1uVg5rage2E,5806,1572
323.03,上海,北京,广州,1687,2317,杭州,QDszSS8mwZfk
6632,187.41,上海,679.78,广州,广州,729.41,2488
674.18,杭州,868.9,674.6,eCbgeVYK,p5x5AaYI,289.23,SurrLF9KQ
上海,880.09,北京,8356,0qbK,3193,杭州,734.31
4371,866.84,376.55,8341,SlqTRWlWur,JXAtdjz,6316,Mk8dGIPTUBV
642.43,9735,uAa2uWWqQ,865.11,923.61,6968,8297,北京
北京,2381,764.25,2saN7pvnpBw3,广州,563.47,D17em5,to8MD6QqRz
9611,深圳,fzIEVr,RKtLVH0gi,91LddCoJ6M,196.73,北京,902.02
7638,9992,losEP,bVBwxzxR,492.4,5844,160.7,653
6402,CdsoVXQ3RiZ,9588,904.66,oZrmvm2T,717.08,5016,上海
449.65,上海,上海,Pf24,623.42,6693,683.08,xYWf
807.9,89,北京,北京,ffjw0SIxhE,上海,9567,5203
208.31,8453,广州,961.68,mk1XlPEt3jLf,1926,4777,Fwe
IKLg1ppn,460.57,4853,i1QM6WEbF2,杭州,803.9,1635,RBjii9
225.67,Nq2r4gPBrHB,817.37,8487,172.67,486.79,3227,上海
6IH,深圳,iU2,7116,北京,深圳,627.61,nxw5jtOfzM
9755,325.08,959.7,深圳,4620,2748,VFyQOPKbeT3,fXip5
JoJKK,410.82,205.53,Y8oL,9400,409.99,478.54,KwspDmYM7d
474.35,6Im,北京,948.34,cIAO,859.05,857.11,深圳
862.78,905.14,221.07,7764,891.95,bUSu9QXWASW,4S1XxgCdNkQ1,5183
303.94,Ynv3z,6269,a0H5BxLR7,8525,F2elUUOl,6608,上海
北京,EKE,124.97,LSZ,3723,广州,北京,6318
广州,cMsWwr,213.81,广州,8424,zkOFkK,北京,1768
Txy,745.18,if05uejKNJR4,北京,北京,2qt06X,北京,978.38
7047,9HIiv,6572,杭州,深圳,1uObD,7867,E83VXVkRpgl
广州,932.59,267.13,3304,广州,北京,140.32,上海
广州,QLZKidz9g,深圳,791.87,7001,mKlK84vGi,685.39,上海
9078,670.89,19.15,nPLT6unGFi,157.1,8224,广州,广州
LpwxXMF,435.17,深圳,深圳,768.86,杭州,974.05,6683
杭州,广州,上海,2138,深圳,5721,北京,0VrL5SdIK
杭州,1993,6068,深圳,BSGFIChRJykW,广州,8824,深圳
上海,5341,9RvQXuG9ma64,2349,o60MDsy,8387,广州,广州
292.18,北京,818.16,杭州,3680,4158,7138,深圳
152.1,上海,6163,1SFw7idi,bPZp1cH,587.91,2720,T8SCSuYn0qpi
3ffkbcTUfBz,af7LN,Rivl2,深圳,55.74,广州,SJz,上海
2252,hPQvG,KiDAx,153.44,16.79,SGTZo,8553,北京
OoJnN,235.32,Agn1cB85,587.67,3601,广州,北京,北京
25.94,660.51,3011,9918,北京,4601,DKXOk2H,745.89
0kECcxY4,xtRAQRa10qKD,340.56,杭州,7730,广州,上海,334.27
640.71,DpwN7G,542.84,204.34,DAH6jd,4208,9863,深圳
0hgiJe,aLCH,253.15,eEXL,EA79VggWx,杭州,768.65,230
260.28,DgDORWY,6090,9628,2915,杭州,311.66,杭州
上海,5565,6772,264.83,深圳,上海,4897,深圳
