xdollu_col,rwmvom_col,yicdlv_col,wnduvl_col
1894,F7HWGfvgy,OgCjVhRqu,Dl4578
865.66,890.05,WUdS,广州
4903,5477,388.49,上海
ekrDt,fXofdZ,1346,2pCI
4532,HotQH94,深圳,广州
402.9,深圳,杭州,Bc68
北京,401.3,北京,L93Y
深圳,7913,深圳,9978
广州,上海,pg7OPz,GtD1K8b
170.63,500.03,460.44,1173
广州,0Zk0,上海,95oP2mcCfD
杭州,7378,202.21,awufSOeYn295
922.96,4zNaqux,1277,690
8011,北京,799.25,y0MAq
694.95,3568,248.45,570.08
广州,北京,917.01,JNhLCl
北京,YX1,7605,深圳
998.7,yYFySqvGUL,495.7,2NsbcJQS
SDRBQZqBQc,杭州,123.02,SV9rRBXWT0U
437.48,7932,杭州,venJSNUt
I4CKqSn57ed,深圳,2160,杭州
945,BP8Xpfk,944.49,lunKItyF
6542,北京,1637,429.08
357.41,上海,2138,409.18
8365,北京,553.93,上海
7716,382.17,深圳,gg0d7E9wH
410.18,235.11,8009,上海
9474,3912,深圳,783.43
上海,上海,195.89,614.76
上海,nmPV3XwYCjJx,TUFxI2F,647.55
8018,72.93,VWl1m4,1573
广州,6393,2792,654.38
318.72,深圳,7354,405.65
6852,杭州,北京,6992
上海,北京,mrXB7LtG,3365
4706,上海,8F4,732.92
8849,560.86,377.08,1235
3180,t24oNDPiY,962.47,382.6
653.01,北京,杭州,4531
485.22,7816,广州,466.33
上海,上海,dpNK,AnuDm
p68aFPBckg,908.17,上海,杭州
219.64,深圳,8732,895.75
8835,639.38,杭州,深圳
北京,7201,杭州,451.44
5705,436.66,604.16,153.63
杭州,北京,202.36,北京
895.08,714,270,杭州
dEr7p168TpkO,141.32,109.88,TcpIZgj
mie6WP6m,241.71,1951,1861
xN0YAWe3gQwr,828.71,7326,vpTJpTWr
iuaEHMuOhH,VwR,ttfwRij,6032
05RQxvNeUpz,920.54,659.5,6239
406.54,上海,Nf6HALN,TcLZz9SnmTY
深圳,PR4,2302,AUJBrHRFDhw
6584,1432,广州,北京
yrRn,674.11,E3ZNi,63.54
955.26,354.76,333.81,6997
398.01,402.92,TV2YYBsX,北京
IWeiTqm,DOrr,2360,298.91
杭州,jvgj,1947,05y5
7396,8152,深圳,zQhhL
北京,879.2,8999,SjryqHV
广州,6879,61.11,6n2zYFR
深圳,北京,539,paqrlqD
3hk,452.03,2267,6740
cMl3EQg,杭州,736.18,9047
F4MTFcq4v7nG,4298,830.09,上海
118.77,北京,上海,646.45
1670,GxbwVCQ,rqG4n,杭州
深圳,2684,zPxP,上海
5405,22mMIw7EJ7,杭州,894.92
5336,328.55,6522,OjWvAlCet
ssHk,CDjsoaJTs,北京,YcdlN2CRfyTX
5837,aRZ7eT2mDdB,9707,BwKvbZXjYsZc
265.63,上海,WqZy9GUwPG2,杭州
eDRjll5,上海,921,168.56
295.39,585.5,深圳,224.82
上海,64.23,8AWF,473.77
868.46,广州,607.44,646.12
3714,938.18,294.78,7947
7245,上海,263.85,SUtF
MEtp0g,68.13,SK3rJp,1078
杭州,7135,9397,740.52
8042,145.55,9535,M9aUjx
上海,4e3m,上海,5959
北京,7944,MaskGJ,杭州
Ox8EBcp,1010,319.16,539.84
北京,476.61,2124,8077
北京,8387,622.99,VpQN1ztz7yo
610.48,北京,4S8bH,UvAylsHND6
北京,上海,广州,7061
646.4,北京,上海,1815
广州,广州,广州,北京
8339,187.03,vGRQ1MyeD,hfzopn8gJ
3976,ayFrXDh5PIFY,3043,2429
51NX9E4,3291,847.33,深圳
广州,北京,gBFWfNW,5975
109.66,6019,955,111
上海,广州,246.93,723.85
452.66,深圳,上海,BwYE4HwpCg
jwjLoPnX0,OHgv6fl,wxvqPxxY,深圳
5307,9742,5901,CKneM
深圳,254.9,3105,484.53
2190,910.52,9188,广州
2227,广州,84.08,0vz90dGsBys7
mhAadXY3,9799,26.29,CxxRV
Crn,上海,970.6,上海
pfIKkaupY,北京,32.79,290.22
Bsdq,65.37,2448,上海
578.31,72.17,861.2,6857
广州,5167,688.76,广州
106.07,上海,CdZP1o4VFql1,xo2n
604.12,ygi,2985,广州
EZG,fcZXh,604.33,MNfaKO
383.76,上海,fgmiQEsVLBIl,912.51
6927,6401,537.68,795.17
wpsWl,北京,164.84,4081
xbLSEp7,8QBv8bhW,34.46,1252
广州,ja90bPcwMr,HLmiskqB,VebMPvaOZ
185.6,684.81,3493,zH5YaNFw1k
517.16,GJu0lJfof0H,931.85,1792
北京,7508,广州,iAA
McIf7,XOKk,7Iex21,148.06
482.15,8119,深圳,5SeHNA
6868,938.4,杭州,广州
上海,520,深圳,深圳
深圳,4kDyEnnkJN,YVJtDrqxLgM,597.35
7127,7091,北京,深圳
481.29,908.8,深圳,上海
9173,8424,95.51,5606
3yNDIpIqwQI,6PlTjYJ3,581.33,杭州
8929,杭州,402.06,4945
5108,908.54,773.81,4960
674.96,RSR8fktzlG,7365,790.41
6733,FJgzf,3154,6858
pdmTCIC4,广州,5180,d2X
561.38,OB89GTZfErW,815.02,1042
