rcvkwg_col,irdeit_col,bwwzoz_col,hvdznk_col,mxwddp_col,sihwez_col,lakrin_col
广州,186.2,杭州,广州,5435,北京,467.86
上海,loLiUkxjhH,杭州,上海,北京,5701,9392
1945,zk3QmU8T7o,杭州,fThR49kMQK,4754,深圳,杭州
杭州,157.01,123.07,680.52,杭州,B3zB,507.77
1242,BIXJG7i,北京,5147,6606,北京,246.34
4027,908.08,lhLxjXVJG,NTFzu0,622.92,北京,深圳
kNzeaO5KpdW,2878,864.5,1693,广州,K9ar,510.63
XgTA,深圳,5966,517.97,2337,2M42zl7I,EsYppjB
1862,hvVz,9376,888.96,60.77,6783,266.1
北京,101.55,181.36,816.4,3425,RC3vT,202
8883,CEMY,QKzz,7235,705.41,北京,4354
69.13,l3faR,Vo1Fsb,HhRi,111.69,172.71,杭州
347.82,6051,4618,vAZ,EW5Tdo,1792,31lVJ827
YjEYU,539.26,395.88,4744,4GZ9A,Gejwu1CJ6,530.63
ulif,1449,4452,852.26,9869,805.09,RS3pc
360.56,iW2y,942.76,fS4OheHF7,894.81,297.41,QMlkT1350
1853,2019,652.33,869.42,上海,hhSlLe2UBM53,meAEV8gzpwqA
KQWqT,C4ZG,43,205.62,9524,464.29,sAgl
fzfNRdyyl,上海,80.37,180.66,RXqgm85,5119,731.84
iZMpVRZuf,921.4,广州,上海,上海,上海,214
8983,892.96,深圳,上海,FWtG,1721,mLi
深圳,a8xcsc,3329,上海,bCRszohj,4856,5308
上海,704.19,深圳,186.31,1gez,广州,5599
372.96,ES2GijnFhQM,Ribw,深圳,7176,杭州,深圳
深圳,751.77,273.52,广州,8984,660.7,上海
rEiJKp3Cd,杭州,X8Ge617b6SkW,广州,152.19,杭州,9833
2987,4988,上海,上海,杭州,Kf12BlW,918.82
1662,杭州,877.43,EhRw,杭州,1180,8757
236.07,289.98,eAuNfyxbdj9,584.79,711.03,深圳,5598
463.88,广州,上海,235.23,jsY,北京,756.96
213.41,2474,广州,111.97,404.57,KApWEg4dL,zMfs4E9cG
4139,6821,5028,612,c2wVNJmm5,888.15,8695
