tjfsis_col,hrhndj_col,sjaumq_col,cesoux_col,gmdtmb_col,dlpngx_col
3649,9653,gQQW32RcpS,北京,7894,U5Icgo0Mw
6092,深圳,7525,jieoq0RqkoX3,qnLV5O,855.71
nhtFJ,6067,769.57,8356,211.19,杭州
756.2,943.3,3326,771.61,802.77,fvZN8dTzBST1
9322,9624,si0i7ZP,6842,700.74,深圳
972.93,上海,杭州,176.87,3752,2126
Po6Glp,371.55,504.51,6602,765.29,55PYiPse
深圳,5920,HycA,深圳,539.87,QwG09Of8UDE
436.38,361.48,NgXLV,8653,5252,5824
广州,北京,3yqIj,北京,SGC6iCc,杭州
9879,96.14,广州,25.02,9220,深圳
566.39,feoQWnE9v1mm,广州,深圳,深圳,9506
深圳,杭州,北京,324.14,jHz3kb,4327
pS0Oe06kgOt,638.63,广州,3945,SH2khH,455.52
3s4I7xVATU,eDluwF6qK3rg,XUdQE,广州,639.78,141.06
595.42,690.35,189.73,830.94,194.14,guhLJjkMyWp
cvFWKta,BMhu4c,上海,477.51,mp5bK1yQtO9,5209
3474,pSeoto,北京,上海,YAgYOYQa,9244
杭州,2971,广州,杭州,226.26,voJQQo1Il
189.02,478.25,twjg9P9,YsLhFJcE,3707,7070
N85MPm,749.98,6869,863.73,708.25,3CMsGPwQ
BR0,1nwgHmi6YhV,A0rt416,476.62,6315,MCrdoqL
DOit9jT2L,905.94,上海,1679,p0PUk,XItyG
杭州,569.17,1946,SU58,广州,北京
深圳,587.93,北京,5368,951.03,185.07
NgXg2YeoRye,558.11,北京,DKWEdaqK,3227,696.48
8798,371.59,odg4rDEnvx,KLZJGY,4649,G5zH
北京,9161,广州,6cQ6B99FZ6,lOONrBPYV,6212
上海,4207,QMjYJworTE,8774,181.74,18
MdxMX,266.07,3500,TufcrMYY,222.0,3016
6126,575.18,广州,273.68,北京,6449
6bSq7cugHJG5,北京,152.45,9946,922,316
广州,641.54,杭州,1t7iY0,深圳,730
469.73,m8U,728.87,340.25,561.07,上海
上海,837.84,647.07,blI4OYBr,751.1,Q09Dh
深圳,364.79,北京,深圳,78.29,2150
ck3,杭州,深圳,上海,NvHakG,上海
广州,419.61,W3ey,ZsZ2r3,深圳,6266
199.42,6886,杭州,712.67,4849,819.52
kfvuDFoM,5448,6322,775.71,广州,yTs
3442,杭州,532.9,2686,杭州,gHMJYwi1
上海,31.93,3471,深圳,7766,Hb0WVK
OWhL5Bl6Spo,7utOTdfDI6i,上海,杭州,fU2,820.29
842.77,157.1,sashVSTEt,2137,4004,8rzKy
F6dh71z,599.51,6362,BtwWSlsCCtD2,z1VaItn,158.29
j6sDEiZm,JaRoY1XS2UDl,360.3,5716,876.04,531.75
486.03,KaB0Q,上海,ZPKTiI,935.55,上海
9s0B,mKjCnJuUT,647.95,560.43,4147,8701
7730,广州,1950,8285,151.52,广州
上海,广州,上海,8395,9595,9561
杭州,tI1j,上海,455.34,上海,933.03
CKKaP5ys,6BSp93,深圳,上海,608.98,深圳
BL4wxy,广州,深圳,CKKUxR,895.81,杭州
FGTjhwO4,上海,887.06,MHINt6sdYL,90.36,owmpTCRAj
186.65,杭州,3477,168.43,杭州,1389
9560,8856,947.93,广州,NvIe,2156
MXHaatrkc,6516,M80FGZ,dT2eHvf,v2dPUD,4413
BuJN,6703,1389,aK2w,fRYxR,上海
691.2,4120,PQV,nZx,1938,1582
fxIRZ1X2OqQp,1118,763.38,432.82,20.93,深圳
146.97,4ZKdYXBxi4s4,535.04,zxAYXhmUZ,6068,695.46
深圳,4065,382.97,HVW,2o4pdch,926.75
uUNuO,8206,广州,上海,3294,8068
