ggcwha_col,qbtiwp_col,bxapvl_col,vkdvlk_col,eozdaj_col
2847,411.47,RW27Mop5,广州,gQUA6M
杭州,TWrrEBLUmaw,PMyZUbNnRh,978.93,深圳
深圳,2264,北京,上海,WyZww
杭州,261.74,521,9131,6em0rKhbgg98
7884,VAQUb730O2l,EJ9Xrjlma,1644,rC3rIhx
4307,DF0NdNrH3bMx,h0QtpAZni,3823,728.21
4341,杭州,EcjgMf3HX988,qwBjtNw,wMEMV
2dC,5807,128.09,杭州,9667
深圳,658.15,5933,广州,8823
8261,IB5RxkMnk,广州,WtK1n8x,9667
4060,0AJQYeeHEmIS,北京,452,7143
9012,Syav,44.18,79.78,503.63
334.75,9908,yJah,Gtash,广州
5883,OWITHp15mo,371.59,杭州,上海
上海,8074,上海,1646,4386
730.06,上海,广州,128.94,深圳
on6evfYr,ni2uX3EVyoe,6JNMCZl2DpZ,Tfy,1657
9937,3021,6361,3mpokdKnn,316.88
9245,7930,4408,深圳,8800
广州,465.6,62BKkC,259.43,595.58
北京,9118,2282,377.73,631
HW45u3,广州,7211,175.88,jrXGjYOX
广州,4348,L3Bkw,8867,alI9o41Y44
42.69,36.91,vdqHzRSbkn,7745,4261
817.13,zK3cXaXQTz,杭州,北京,763.09
594.01,102.07,深圳,847.73,r8eojqyG9
330.01,深圳,394.31,OA08SUY5Mfue,广州
广州,708.12,5275,深圳,北京
4162,FjtSoz,上海,广州,上海
4695,sPr2fmy,广州,759,杭州
9hmvwXnY1F,366,2683,4606,4VwvdEXKLkI
715.44,上海,Wns,9165,8351
659.3,9490,761.11,412.51,I0ZwgAGu6
5169,4181,764.62,6,6rPjKlKw
杭州,深圳,深圳,杭州,上海
上海,377.87,杭州,9463,XNToZ
753.67,7169,lcw,128.97,771
718.39,G4CKz1LJx2G,V5oiLkUv,广州,471.74
GeDQ,782.12,290.99,杭州,Xoy12PQt
967.96,广州,308.82,822.64,北京
2394,2533,7626,955.33,rl8
XNAGgg,271,uhFHnM8U,621.25,4skkMHldWnQ
9bBw7Tp,Xio,北京,192.11,广州
4429,eOnM,HlnGkHQzfx2,FYp,54.37
广州,北京,618.28,广州,9413
上海,上海,3310,杭州,6607
8588,7719,8456,杭州,4716
478.88,681.73,aNI1nX,XQtFOfLWoKN,7183
深圳,深圳,724.15,602.57,6f5Xl8nCZ
杭州,920.21,774.73,北京,北京
935.1,QYUNq,广州,5380,广州
ivs,668.04,北京,QufpY5,989.86
1081,2274,Q9RvR0,北京,8042
4105,上海,189.13,W38EO,jixd
5T48DcTOh,上海,7cRmBUGuG,HT6iKe,9U5Gx4b5Q
cZmf,广州,UDM5,808.13,t4D
lKEiRsprhI,6494,3736,AECTFwK,5qvzFeM3o
上海,杭州,270,602.96,81.22
52Igv1qDDYl,上海,sTdQz6,882.56,908.89
270.35,367,广州,2mP5fc,2934
7991,3512,5743,115.91,5XpI
c87lfgNyB,7318,杭州,2864,699.89
7Zvr,397.6,28.05,579.47,8SdZ56azkb
992.39,2958,7271,1863,9543
444.6,9071,北京,杭州,北京
9746,2651,4329,hDHmiar8ftGj,648.66
P6WWIYZ,FR5BWT,3769,北京,X2lQeZJ
北京,qic2W5BmG,广州,y5q2Eb6,561.43
5048,TZBkTwlJ,15.51,1987,2GNfVvmxU
214.29,广州,963.78,o5LzQuy6g2OI,B6R9S4h
O31jG,6269,深圳,e7noA,上海
42.52,JYwEu,1YOr45,8114,深圳
769.46,913,9577,536.22,3102
qqjyjYxp,深圳,QKMrX,2YWhS,9683
595.22,76kKb,3918,33.89,广州
dMxvJq,1549,Vwh1,PSiep,2746
1267,上海,514.41,杭州,W22IC
lkITU,181.61,530.18,382.47,上海
zMHDcePj73,上海,杭州,1523,816.77
345.29,598.37,291.85,A8rIMcHWWYx,2713
8607,121.44,北京,2863,广州
847.08,深圳,北京,5882,zEo3InBD
北京,1412,71,杭州,4tXfN
ozKeNvU0,36.77,3576,3946,32.85
上海,广州,3806,GNtW,148.07
987.79,576.85,336.49,373.05,广州
3687,杭州,深圳,8746,6877
3354,346.62,上海,hwmB,4552
杭州,117.8,177.62,深圳,I8vra
2716,5022,北京,BHQKPPchlr9D,5UUKmaLw
4535,北京,pmL01PN6Ag,c8OER9,8135
687.71,782,9423,9371,上海
H8niTVPF1,532.69,217.99,QWOyU57b6G,728.5
205.22,广州,S2QBev,Whv8uoTqsrKk,9406
709.98,851.71,80.28,575.61,cmmW97
广州,rFNB,6212,t7PXtk2eXP4C,HTgzI2G1eQr
h3mojaY4,9591,gTyGGvIW,265ZXB,573.72
369,8939,EY0laG,594.13,上海
791,447.64,上海,xSTCZqck6iCZ,8509
RVXWOSgKxA9g,深圳,274.15,786.08,hpQ
5493,256.92,TloSl,北京,5689
上海,8953,Tkzl,9275,北京
杭州,杭州,UC3jL6,376.95,深圳
I42BW9XSWAo,991.6,287.87,vvW3Xv,杭州
BnqV0NR,dHHw6up2ZTS,广州,567.68,北京
742,北京,6986,深圳,深圳
