ulljnj_col,wxpxqp_col,zznvtq_col
bG6DUA,477.19,399.72
313.51,3137,杭州
JoWTAB8D4JPH,上海,488.46
广州,355.16,3284
763.62,658.8,广州
541,xKusFyC76m,TuNjxHx
XK1ioQ3Pjw,北京,3940
6606,891.23,OVFdHtQpfB
812,北京,杭州
1936,951.27,8976
953.57,354.83,zGDj8QtXhQQ3
7909,上海,86.43
JGX3,广州,844.57
北京,广州,杭州
B36oeuPu4lj,134.68,9247
1522,5681,947
383.89,北京,we9byJWpw
杭州,Kr2xxuG,杭州
LFXU,4610,广州
437.37,585.61,369.27
JopJBDl,3vwvkj7gd,526
697.42,379.33,2934
2279,MZXb6,5509
杭州,jEmPan5,799.59
8726,VSW,北京
北京,549.06,838.41
gJ11Z,y1boQ,ShvH7
NfQNP,527.59,5876
1598,4832,xt8JIbae1Uq
7734,755.96,pE7Av4tDi5GO
782.83,750,oa1c
7LnmHD,深圳,杭州
2Djq96,9199,d8rQ
11.79,496.46,4006
深圳,30.35,广州
8904,66EZvnHE9MM,93.72
798.19,6319,杭州
670.99,932.84,深圳
676.86,8686,50.46
751.91,bhaYt1H,7i574QRt
760.46,365.86,334.18
814.2,100.37,北京
TE4u1p,北京,北京
广州,杭州,北京
mFfx,深圳,865
553.48,LV1zlbwohjKd,广州
深圳,AeR,292.29
uHCexKwGWCj,526.79,北京
杭州,4328,cIUWv4uy
9cCloV,6166,440.55
深圳,北京,深圳
3285,杭州,深圳
581.2,8349,杭州
Ye0AVQ,广州,UObQEwtZ
193.54,上海,dD7sHPD
HjZWG,杭州,310
1302,8081,杭州
1753,GcIErG1fkMZM,杭州
70.22,JX325wkh8,950.17
上海,广州,6907
9980,6.14,485.26
8966,219.92,FMq34xcllqi
杭州,深圳,196.23
947.24,深圳,广州
3909,2b1XOmnn1,广州
深圳,杭州,aXn
3715,深圳,is8C46pM
mfHX28GR,906.44,广州
wfzOSx,深圳,9bRANc
深圳,CrRC,深圳
4598,广州,5dC
广州,深圳,D49x1TlvC
bF5,上海,广州
杭州,81,上海
深圳,175.59,gBkyL5alTudk
273.46,广州,Jnh4
RI20WBwMoTuT,杭州,广州
679.93,8804,OORMqJag8m
YM1V,870.56,上海
icTN,361.18,5783
1152,74.36,242.55
7158,Zt0sUB,U0tm7VKweM
cTNgAqiPWKw,深圳,1Eg442jb
134.7,325.37,990.55
18.5,108,55.55
974.54,TLwnU1y5,4302
ASyP,5123,上海
上海,3439,5960
3JTfPH,北京,7.22
9447,167.34,kC2fGrY3
上海,zSAK3SCZD3,UeWNm5V6i
深圳,广州,广州
fb7t,520.05,9970
GTXPh2,广州,rdGJk5Ds
POH70,McANw2wue,SP9EWS
A40oCQ18AbQ,508.47,上海
800.15,6qnO1,556.7
北京,8341,998.19
深圳,北京,深圳
北京,3246,aWKaDK8nSwA
558.62,2119,广州
2302,699.26,70.75
976.16,jBDTU,429.44
