gksorv_col,zncywb_col,trwjoj_col,khdifx_col,qvxvbz_col,bolywy_col,zenplg_col
CQGNKT4XS52P,763.48,dRxLVs1qN,dMO9dRonZ,深圳,682om9GR,477.31
北京,上海,上海,426.79,杭州,北京,815.01
390.08,YkE9Wc,北京,FctM0mZ,833.4,409.91,92.58
QoDOk,0SEcDBZfbp,2524,984.15,691.86,北京,广州
1400,7791,8544,6881,5619,730.27,403.16
jAz3UdTY,北京,北京,dZKRm,L7e,961.79,383.81
270.27,326.81,364.64,j2I1V,4DpH1veQ,833,7572
484.62,730.17,438.42,深圳,162.56,410.06,2495
526.54,585,bEtobLvWJm0,3563,广州,2sryH,杭州
2135,933.17,2217,北京,278.29,164.46,2991
深圳,5278,INxR,9O3HckjjV,广州,深圳,8377
109.53,6439,4139,uBA1i,X6qMPSa,上海,3074
768.97,2634,851.75,560.0,cRA1,638.11,67.82
kCivQFZ3,7346,393P,q4xyAnrNGo,DlVOVohde,mlvtiWNWoC,107
790.18,上海,cRd7Tx6,上海,102.59,9224,80.82
16.98,9092,368.97,Kexmy7SiA6,jd5DXrxpNm,6301,1545
628.23,3210,上海,4275,R2AJqoVxPOh,306.03,6272
bmmyoDxv,5325,XRDIn1pX25tF,23.84,384.45,3083,杭州
2626,广州,OPr,深圳,144.61,杭州,5512
5895,杭州,590.32,5736,266.52,gAmSf,深圳
杭州,844.06,0JNGZeO,176.62,北京,4.89,3002
广州,bL1KjajN,wAgHNt,KQ2iU,ywAfoDJq,杭州,VJN2j
9575,387.02,686.36,杭州,4599,7989,8244
深圳,3010,KQ3PsZIte,深圳,lHkAH1933K,5014,5529
2204,L4Y,189.64,8051,杭州,uIg,895.33
5931,6494,829.38,868.24,mThCpdTO,gFwmrw08,北京
北京,深圳,QkvSLXXf4,广州,北京,303.11,95.57
杭州,378,ZLCJ,2962,8861,XFdpvXpmfWm,SFy
4882,cotkS,705.77,774.69,eRTa,7004,RuelVzyDD
984.47,9746,杭州,AxCTA,530.88,sIWe0pDt,800.67
1373,354.2,北京,ButwHy61oVLg,888.54,649.3,TAfgXd
上海,C5w2,e3JU,广州,104.4,969.18,vsqd79GEy
147.69,北京,743.11,深圳,809.15,vc6AbM,上海
8472,RaJCFTtRmbg2,7536,IbYNxLsiV,KnkwUr4,328.37,766.47
7FJg6m3,1252,ou4,401.88,Ejk1YL,上海,699.23
568.02,GsYYpZZ,9713,nO9wX9,杭州,dud3rzld,6285
4437,广州,杭州,377.37,7224,1qm4z3p,2861
深圳,104.88,JlXq4y2,杭州,5673,北京,654.47
深圳,313,576.03,上海,Ad6hnSZ7QpcV,LiVW,北京
3846,广州,5370,4078,广州,北京,34xbdzpR
Zr87w,5698,nP2176MAirj,2HqGbqqj,397.44,E8BSZfUjuLvH,广州
C6mFWeY9RYW,北京,998.7,上海,21DgCK4WycF,qMm,129
3161,5799,杭州,2157,上海,oku,北京
深圳,7154,x6s4i,CI7d1o09AAjo,qRp,深圳,310.22
杭州,杭州,656.34,856.95,4719,880.82,3598
618.7,5536,4680,429,7803,杭州,vDZ
杭州,5911,1368,uCTF5iu,z9Jrc7fb6lB,mXA,MauJBO
杭州,2924,sshy,北京,639.59,736.32,651.72
广州,744.08,Y4PBwN8J,北京,536.7,299.52,xrrTd1QGY
9733,257.45,275,广州,7iFfvGAmnaVS,北京,2249
KWH8j87LU,上海,8720,333.44,350.26,7441,366.38
6189,2000,40.85,orPr,211.3,WElAkgNXL4,杭州
hyk5P,SSCksGkf,eKo,广州,广州,bogW,9720
上海,上海,744.61,9244,EVWjqC,3817,6210
深圳,杭州,NqOsN8w,4345,杭州,5825,4240
1909,北京,564.63,Jbi,9615,北京,深圳
1436,Fbh1,DxE0o7,253.21,iLtlQlJ,上海,1815
n9RowvF1,206.32,wTj542BpMWTT,北京,上海,1189,8676
tX8i,p2TY,OozYYy8,5569,7219,8023,广州
深圳,8943,8541,298.6,8085,杭州,北京
杭州,广州,广州,398JHLvH,深圳,wog,北京
4904,ifIIBFmA14o,5407,1929,7506,深圳,杭州
广州,257.45,NrBl,2475,4421,7156,360.68
538.35,上海,广州,5744,杭州,799,杭州
321.37,3187,6701,984.56,4621,1321,杭州
北京,杭州,147.81,1498,5420,8468,57.36
NxC3Nix8CJ,9069,30.59,479,6836,4827,SYwicEwnv774
208.74,Xowkokf4YlBD,上海,nkuQc,北京,904.65,5208
杭州,1390,kcbIH,483.52,广州,748.54,KLb
1182,广州,2214,L9OAZ,NU7jn9IS,北京,849.28
5I6jQ,678.3,817.37,2041,8914,866.24,深圳
940.5,北京,7580,767,ytwccr,uss,CTNi4y
北京,杭州,广州,8579,北京,jf6HJ,广州
上海,广州,深圳,zYNf9,9.35,杭州,2187
vXpgjPgheC0,4381,532,796.98,401,7.06,4770
上海,I3jdwg8,638.71,深圳,2721,556.58,北京
qFBg,北京,6283,6D6j2N,e7gE1fhUfuLr,1623,240.09
oU6m15vfe3,988.13,杭州,DbOv72X2,4N3NW0c,eZc0fG7T5,1YWCz
63DQ8B,7109,550.55,3634,7913,5831,380.81
北京,上海,Eub5Iej,lSf3hpKD,7064,840.31,BMFh
上海,tMrHOgCN,4234,279.77,1773,1311,广州
jTPIR8ZBWVX,615.46,110.96,Dl1xX26qgmg,JRo,3516,711
282.99,o6U,深圳,284.51,503.89,388,rWZLavIHnWz
dbR,9941,282.64,5941,上海,574.42,9607
上海,YoiR1,ywdi4wD,2694,上海,o3B4PV9kg1,2382
139,937.11,363,杭州,mP9LkCJwK,44.28,324.17
957.54,5581,36.34,223.04,rU6uT8,L7V,PLwH9wpbMgA
bS1Fg,杭州,6XqCP1anX,705.19,vBw,862.83,350.49
lWt,广州,304.62,杭州,杭州,412.33,广州
966.94,杭州,北京,K3Hyc3y,vW8tPudTMVF,7320,938.66
4057,575.2,iTe,761.41,杭州,lZ0HBfFcR,97
opjL,北京,75.87,812.66,QBPu4ydU6rDf,8379,3419
aZ77TvaChd7q,2025,84.94,杭州,6773,7111,471.03
901.51,4259,杭州,djiLsAtpvYn,XT7ky6,杭州,5918
551,北京,深圳,582,2927,289,138.27
上海,杭州,479.17,3ULTBn11HJy,iUoW,杭州,376.36
s8YynwMBYC,7Tv6C4BMUS,4aP,840.01,北京,SISrRnH2g,北京
8914,735.83,1196,595.19,632.45,2532,北京
Kt6JN,3815,o8VRJvo6EYQ1,深圳,228.56,广州,frGipP
977.3,2547,7889,北京,LtooG,3iWxB,深圳
7487,北京,2067,杭州,8229,6592,3xs8hBF
760.09,jV16xbF1mn,388.7,348.96,杭州,lyrUB,深圳
1209,bbnsdIOLA,Tuc5xg1Pvf,g6Qi,4475,242.76,杭州
杭州,LXPS,947.63,EcU,5450,4D8,5252
469.64,5049,EwKOFnkygts,上海,8884,4397,618.81
o1d,479.71,北京,689.71,2347,上海,7189
杭州,北京,400.21,203.39,上海,3ERXdX,318.55
767.13,8975,深圳,杭州,3490,广州,上海
291.13,广州,1130,深圳,840.87,杭州,3928
广州,杭州,6918,884.78,5Al,503.83,8Cj
7085,195.57,LfxkD1Hp5A,319.12,cG6u5,810.03,857.85
广州,VJv,uMbifc1zz3wD,2048,G19u2,5928,490.76
526.6,fDBYYSH,155,vb5B,深圳,SJwCMPxBP5c,上海
6683,8772,309,177,cYKNu,北京,2941
693.93,671.34,970.07,杭州,360.13,7258,6010
杭州,7184,486.73,159.93,4002,北京,3YlBYvxjWuF
oOET69vvMe5,qLB0hqJhq,OowKKVrGE,357.33,上海,EgpmE,41.25
lOuE1ocFNN,广州,614.09,杭州,深圳,5188,3305
上海,477.65,700.61,8168,4822,3619,491.34
800.44,705,5568,7054,8367,204.29,9256
3059,951.68,5.28,957.4,nYVUjKKJ,387.41,549.9
779,7148,9148,杭州,191.68,xej5,nWdV9RKVaqV3
8997,杭州,KWSFKdB,4YRjWqqFa0D,9622,3AeH5lckSM,9317
