qorlxq_col,oxajud_col,lyqvrr_col,migekm_col,pybpbg_col
482.11,GuPj4,1966,2961,8433
3856,杭州,962.86,7417,443.1
245.66,523,810.03,MtX57nv,杭州
杭州,深圳,广州,587.22,2708
99.55,5uX9t,9921,5885,2XkTk
7691,上海,北京,广州,AxO
964.49,ZVKKS,5689,北京,zsHR4A4ef1y4
818.68,ccBjC1yFDLs,深圳,xBXVmJJEd,k89ggpqnOb
5327,527,eDwD0ad,CSxVP1iexB,Bph
2bzlyFkNg,北京,359.13,6123,9255
2588,6407,754.48,北京,广州
广州,北京,杭州,zEiWL6PMtoVq,4647
Tdt,6293,550.12,pfmagWG,810.1
3308,YqQI2F,Vq9,9551,08fkOwzD
杭州,杭州,cwum,0QZ04X4CjAO,848.77
2903,深圳,982.0,2FPKcdmTRZ,92XAGUpxIK
725.77,4868,7639,广州,6307
240.5,187.7,pABn0TraZ,RWur4q0PP,广州
d9CxWR5,p9LZI9d5V,广州,hWOs24yI,2SrdPYp
3.23,广州,北京,286.56,杭州
eWwOOVgqil1,上海,深圳,555.55,9918
6274,637.9,802.06,深圳,fV6D
5288,NYK,hugOEvO,t5ZkYxDzU,8315
杭州,5390,6926,826.0,4025
9RKTMk0mkxbn,740.42,CKEd,5429,619.1
8weL0,6To1gUi,北京,338.54,hmc01Vp2T9
HJ5jqoFg,7355,杭州,6855,北京
q3NBWIisEG,QZJ5JziDt,363zkr1Ba,北京,3638
496.28,20.42,552.33,931.35,2qmmgXWs75M
北京,9141,681.47,深圳,249.57
345.89,杭州,GAaCrIY5BkB,9LbkEvzfBa,3777
459.44,197.16,9586,133,3772
北京,7083,798.5,Odpj3p,深圳
北京,863.1,816.72,192.55,ul74yx1TA
RvW,杭州,hvRou1JQ0ly,广州,HTbkOGPw
971.44,广州,9520,8965,578.7
广州,3658,2145,9421,516.03
5677,广州,308.42,广州,杭州
北京,广州,u6BN9iEKTg1s,6557,广州
751.53,杭州,杭州,259.33,杭州
北京,769.82,983,深圳,55.16
8400,3477,129.37,300.33,441.33
6685,fxR,Opc0AP,9256,6220
766.8,481.01,WxMskzl,385.58,上海
4919,PzcTj0M9PWk,3500,946.47,PI1MsyD
107.63,8238,694.11,LXPtU954,广州
上海,875.6,8938,北京,广州
上海,3eIaQR0ewJ,307.53,697.38,O0ZPjbBFxDzT
杭州,广州,IPIE6NK9ywa,深圳,5376
338.68,北京,147.3,7161,391.56
qMX,杭州,深圳,6382,668.22
北京,5987,广州,424.42,上海
上海,08IdKjXo,539.31,8NTRlopTuY,杭州
6011,3IF,9859,9488,4239
452.06,广州,rrmgRIGnCFC,746.16,FE4IsFuI
300.9,深圳,上海,262.59,广州
172.37,广州,747.24,633.75,812.82
pWcTD73Q,51,296.22,530.9,nlom
337.81,北京,9tL7xCY4Fh,深圳,Gw4cOrY
上海,5295,691.43,5468,JKqkJA
杭州,上海,156.65,42.23,广州
北京,hpf4ro9,643.48,CdOJix,cXupDI3NLMMB
6788,826.84,pIe54,WAhJ4,967.32
4389,4167,417.85,1636,北京
4078,上海,3893,uGdu5,杭州
杭州,4708,上海,469.98,深圳
427.94,19.87,573.78,ZMxg,北京
603.04,eaaQ1Jjqq3,广州,深圳,3363
vGDPxqG,5061,gNFCVdFNNn9L,sPef,5798
803.79,3563,1826,杭州,D7Gdj
广州,70.97,8928,深圳,9630
992.82,1ABrJ,qvwCP,7301,3119
kTX,952.85,90.83,q9LXI0fAGUH8,深圳
41.29,北京,TfwjOl,3GSrYeeQ,3079
3456,tHmnR,716.68,北京,北京
杭州,123SSSYi,5PtRF,5658,fgExpsmymTqW
深圳,8147,861,上海,3783
953.58,广州,SzU,上海,北京
947.66,上海,6682,272.67,8300
北京,1892,北京,353.41,870.62
843,3C9j26,深圳,h13sMjlp,3687
631.87,535.53,SUr,923.62,广州
1568,El3R,深圳,杭州,195.1
9260,1603,Ie8jwnl,4585,334.58
深圳,上海,杭州,杭州,上海
5329,杭州,ip7YmT,3165,杭州
444.64,杭州,5496,7OSQPn,qmQJM
lIyvyIPLX,891.22,326.79,0Z6p1N,649.67
广州,广州,8xw2rYB69ti,6762,764.34
9105,2345,TY7dm,广州,2osAjQ
7431,深圳,j80c3D,3578,519.19
Oqh,9496,深圳,273.15,9986
6323,408.51,661.78,9918,YGN9OsSUGE
938.5,1544,2528,468.36,4065
204.96,深圳,4425,4670,广州
北京,1429,PbRCKHBNeD,886.07,2033
5613,tknAweZeeQgB,HsuXg,广州,7340
广州,169.73,Q4Tkhg,广州,6274
