orrjwv_col,faylkc_col,ujsfrf_col,nxclnw_col,fnuqpz_col,irdhzk_col
5nTh,455.85,136.6,8287,9198,9045
上海,深圳,huE1Acx,广州,VKEL1N1Ho26N,5166
5123,广州,北京,754.46,193.57,3119
Y8RpRP,410.6,广州,8497,5023,广州
广州,408.69,JJtRYEl,广州,eN3bsdZ6,上海
4t7ByKH9CY,8416,294.72,北京,4327,上海
8497,广州,深圳,mVbtzupPZk,dWaDHC3,深圳
7978,3S0Lne,7797,427.68,662,2181
77YG,WPf9XO13,108.33,深圳,819.5,广州
647.44,p7eoY7xm1,8B7jOc,76.07,701.14,150.61
oupBoF,4753,上海,杭州,18QFv2f,Qaf
Sg0zE,349.2,7968,4744,深圳,北京
广州,上海,j6Z7tnMHHKMb,NcwoUeL4WK4,北京,495.85
WcYqT89KFIU,7975,2888,深圳,hUy,8383
xsQXQ,杭州,8404,430.54,6268,4780
qaDIPIQO6D6p,605.94,JJQZFTp9,深圳,上海,杭州
杭州,RvFBmem0AnA,260.7,718.03,hDEiOtxCY,深圳
785.18,331.88,8855,上海,163.74,深圳
广州,680.77,vrZi,VsoWgCuY,O8N6U,3.58
fA0umHNm,深圳,227.32,YNeK3f93t,北京,244.2
杭州,N5xix,7462,6fUO,北京,上海
8527,bvGf9deu,杭州,AP2QxmEz,512.74,北京
735.4,826.11,420.36,广州,杭州,北京
609.2,3aTJWtF,sMnRvu6F5,IWySeTBW5h,杭州,广州
杭州,4693,杭州,上海,6508,9.42
FNwm,7979,1994,广州,6263,371.56
3114,杭州,uxM,北京,北京,nKOdmI4cn
深圳,7355,6584,杭州,34rDBq,287.46
U6z,3701,BFj2KO,7372,9543,杭州
广州,174.8,广州,470.63,9896,312.26
上海,EaC7oe,4826,杭州,U678CqF6wOF,129.23
66.65,北京,2820,1810,上海,576.66
wtEBEwYpsI,北京,874.67,AMJeNp,xxa,XShTioEWX6cb
887.88,833.62,广州,0ESolb8,xjsp48fjlxy,znlGh6CZGoZ
sLzCH7tEX,上海,5Wa8h3nqm,554.54,268,1777
上海,OoZKos7Tt,上海,6752,375.9,北京
