zbylud_col,etsyck_col,uehlik_col
489.24,4123,X7kTWT9h
ZpIt48XQ24Bk,wMnc,7495
深圳,447,7966
上海,8442,694.85
FdZSgmjMkNJ,4sqgcuoH,261.95
537.58,nyhtoX,2628
371.98,787.24,8hU6
9157,128.76,深圳
697.31,北京,7588
p0wRT4E6,PF5K2aKge,4719
北京,9860,bJMiRQ6Pze
771.45,731.92,926.71
542.14,DS1JsO9W,杭州
Q9B5M72VKB,980.72,7093
深圳,F5WQ2HLRjG8Y,杭州
上海,682.4,7714
752.84,深圳,FxfiZyl
504.59,5569,675.15
Hjv6vP6V4,23.08,3988
sIsISa37lH,BTKKoccFWnGt,9915
深圳,255.86,242.04
2358,686.57,杭州
上海,9DUXXXlYO,5551
3555,广州,广州
nCbm6Lsp0T,01Ky,FVkMOH4
909.36,507.95,MxRPyx3F
北京,pcg,4931
4905,2448,zdHkJGGf3Fq
广州,c8Y8NR2GxKz,zKdV0eH
29.51,201.02,上海
Wh1wBoTjWJi,2416,3720
4994,上海,344.67
1196,深圳,1746
杭州,851.77,687.9
4WxY3lQ8l8,gXnQ5,5CxpvZnBdyD
深圳,7084,广州
杭州,258.65,4723
深圳,627.65,Cd05Ap
jNcp,1750,856.23
599.42,375.39,深圳
892.75,1018,716.74
Grp9P,953.84,bKo
9PDztM,145.29,jmkah
545.98,BLbpSoGN9Ub,372.14
8icIs,PcLri,深圳
79rmzc9ZpS,5573,LfMjd1R
4866,692.13,4576
广州,87.15,665.24
8638,786.83,517.21
VNGwoRa,2696,6743
r58k9XPWO1,456.39,广州
杭州,543.43,RrlCntEeyP
sk65TLjI,hccLDyPI,1316
深圳,987.8,627.48
4472,杭州,广州
Vtesi1R,M5dPYwQ,6768
753.21,深圳,fyl4
9294,392.12,4974
3fEjEuC7DZX,7682,深圳
5401,7998,195.0
OaDSOJcOC,上海,2284
9562,北京,8474
SzsqrUYmL3ng,6503,5013
C6mdbbi1Pk4B,678.66,ljK
北京,PkEpYDhZz,502.43
GInnKC,深圳,OJ8VzeiXxTK
北京,北京,380.26
6591,y3YN7FYq,9761
上海,211.05,8819
708.85,955.99,gOlL2mwSjVE1
4846,9523,SBqp6PNSr
47.4,3062,北京
9087,2299,7190
7163,PAcL0txOY6Ry,1458
9633,4314,548.45
VneEW5MXtOb,广州,3411
