促销ID,促销名称,促销类型,产品ID,开始日期,结束日期,折扣,最小购买数量
1,折扣活动1,折扣,21,2025-09-24,2025-10-02,0.79,
2,买一赠一活动2,买一赠一,7,2025-10-17,2025-10-30,,
3,满减活动3,满减,23,2025-08-17,2025-08-30,68.73,168.46
4,折扣活动4,折扣,24,2025-08-08,2025-08-14,0.82,
5,折扣活动5,折扣,9,2025-08-02,2025-08-15,0.87,
6,满减活动6,满减,27,2025-08-19,2025-09-03,38.32,112.84
7,买一赠一活动7,买一赠一,11,2025-10-13,2025-10-22,,
8,买一赠一活动8,买一赠一,3,2025-10-08,2025-10-14,,
9,限时特价活动9,限时特价,7,2025-08-14,2025-08-27,,
10,限时特价活动10,限时特价,13,2025-10-24,2025-11-06,,
11,折扣活动11,折扣,5,2025-09-01,2025-09-08,0.76,
12,买一赠一活动12,买一赠一,18,2025-10-11,2025-10-22,,
13,限时特价活动13,限时特价,24,2025-10-19,2025-10-31,,
14,限时特价活动14,限时特价,29,2025-10-05,2025-10-17,,
15,折扣活动15,折扣,12,2025-10-09,2025-10-15,0.83,
16,满减活动16,满减,3,2025-10-18,2025-11-02,88.89,161.14
17,限时特价活动17,限时特价,6,2025-09-05,2025-09-20,,
18,限时特价活动18,限时特价,20,2025-10-27,2025-10-31,,
19,限时特价活动19,限时特价,13,2025-08-29,2025-09-10,,
20,满减活动20,满减,17,2025-08-02,2025-08-09,74.42,145.82
21,买一赠一活动21,买一赠一,29,2025-08-07,2025-08-18,,
22,买一赠一活动22,买一赠一,25,2025-08-02,2025-08-15,,
23,限时特价活动23,限时特价,4,2025-10-26,2025-11-02,,
24,满减活动24,满减,6,2025-10-07,2025-10-17,96.31,450.34
25,折扣活动25,折扣,9,2025-10-02,2025-10-13,0.83,
26,买一赠一活动26,买一赠一,4,2025-10-19,2025-11-01,,
27,折扣活动27,折扣,27,2025-08-17,2025-08-30,0.74,
28,满减活动28,满减,25,2025-08-21,2025-08-26,67.92,295.44
29,买一赠一活动29,买一赠一,4,2025-10-16,2025-10-24,,
30,折扣活动30,折扣,8,2025-09-27,2025-09-30,0.92,
31,限时特价活动31,限时特价,3,2025-10-13,2025-10-17,,
32,折扣活动32,折扣,27,2025-10-19,2025-10-23,0.73,
33,折扣活动33,折扣,16,2025-10-03,2025-10-14,0.77,
34,限时特价活动34,限时特价,28,2025-09-25,2025-10-07,,
35,折扣活动35,折扣,7,2025-10-13,2025-10-24,0.88,
36,买一赠一活动36,买一赠一,13,2025-10-03,2025-10-16,,
37,限时特价活动37,限时特价,15,2025-08-25,2025-09-05,,
